variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,7,0.1113613024353981,13,3015,17.139058083969434,10.791015257293884,30.002675744559376,10338
st_time,7001,7,0.11075040698051453,13,3015,17.127618555654276,10.713256662508625,29.510178277201423,10338
st_rfft,7002,30,0.1255473643541336,30,3015,16.880576020612846,10.569927452103638,29.41717038269363,10338
st_time,7002,8,0.11156344413757324,14,3015,16.948073007488794,10.551197909183395,28.968029566625788,10338
st_rfft,7003,19,0.11634553223848343,25,3015,16.882479824851867,10.614452784931805,29.47511078931555,10338
st_time,7003,6,0.10672318190336227,12,3015,16.905375862646526,10.568456064550068,29.18248747005433,10338
st_rfft,7004,4,0.10539083182811737,10,3015,16.977714593700657,10.635920419986347,29.47598129250466,10338
st_time,7004,4,0.10423405468463898,10,3015,17.0035885739638,10.636454852136104,29.385580724419068,10338
st_rfft,7005,4,0.10504159331321716,10,3015,17.065158854123702,10.664004871429661,29.528323756985348,10338
st_time,7005,4,0.10455775260925293,10,3015,17.066598839419118,10.638197906798194,29.337356807902083,10338
