variant,seed,station_id,station_bias,gate_weight_mean,gate_weight_std
st_station_bias_delta_forecast,2024,1002,0.2184816300868988,0.06795874983072281,0.047598645091056824
st_station_bias_delta_forecast,2024,1003,0.3443359136581421,0.0782824233174324,0.028691422194242477
st_station_bias_delta_forecast,2024,1004,-0.1699858009815216,0.04598384350538254,0.015474668703973293
st_station_bias_delta_forecast,2024,1005,-0.31863003969192505,0.039786044508218765,0.012157262302935123
st_station_bias_delta_forecast,2024,1006,-0.056128185242414474,0.051045991480350494,0.016365010291337967
st_station_bias_delta_forecast,2024,1007,0.09723623096942902,0.058942001312971115,0.014432269148528576
st_station_bias_delta_forecast,2024,1008,-0.47834426164627075,0.03938160836696625,0.050001759082078934
st_station_bias_delta_forecast,2024,1009,-0.03450455144047737,0.05279940739274025,0.011767919175326824
st_station_bias_delta_forecast,2024,1010,-0.36453327536582947,0.037666723132133484,0.012247269041836262
st_station_bias_delta_forecast,2024,1011,-0.37193772196769714,0.03765351325273514,0.012499515898525715
st_station_bias_delta_forecast,2024,1012,-0.16825789213180542,0.046044427901506424,0.01602492667734623
st_station_bias_delta_forecast,2024,1014,-0.23320455849170685,0.04210324212908745,0.012038481421768665
st_station_bias_delta_forecast,2024,1015,-0.11255449056625366,0.04680801182985306,0.009715461172163486
st_station_bias_delta_forecast,2024,1016,-0.4785153269767761,0.033230748027563095,0.010523680597543716
st_station_bias_delta_forecast,2024,1018,-0.17866455018520355,0.04506991431117058,0.014401017688214779
st_station_bias_delta_forecast,2024,1020,0.07028680294752121,0.05839162692427635,0.01574140600860119
st_station_bias_delta_forecast,2024,1022,0.2522297501564026,0.07032903283834457,0.02908114716410637
st_station_bias_delta_forecast,2024,1023,0.5051283240318298,0.09776706248521805,0.05137253925204277
st_station_bias_delta_forecast,2025,1002,0.1562652587890625,0.0632241815328598,0.04440486431121826
st_station_bias_delta_forecast,2025,1003,0.2870660722255707,0.07310526072978973,0.026728399097919464
st_station_bias_delta_forecast,2025,1004,-0.14034390449523926,0.046602778136730194,0.012494577094912529
st_station_bias_delta_forecast,2025,1005,-0.24319319427013397,0.041993994265794754,0.010427655652165413
st_station_bias_delta_forecast,2025,1006,-0.03660770505666733,0.05078129097819328,0.012492223642766476
st_station_bias_delta_forecast,2025,1007,0.02538652904331684,0.0537402369081974,0.012364285066723824
st_station_bias_delta_forecast,2025,1008,-0.34798601269721985,0.04470440745353699,0.05613003298640251
st_station_bias_delta_forecast,2025,1009,-0.08460801839828491,0.04895249381661415,0.009831375442445278
st_station_bias_delta_forecast,2025,1010,-0.2898205518722534,0.039563074707984924,0.011163290590047836
st_station_bias_delta_forecast,2025,1011,-0.31804323196411133,0.03885297477245331,0.01313869096338749
st_station_bias_delta_forecast,2025,1012,-0.08984466642141342,0.04905645549297333,0.016527336090803146
st_station_bias_delta_forecast,2025,1014,-0.10516397655010223,0.047162849456071854,0.012109750881791115
st_station_bias_delta_forecast,2025,1015,-0.10959415882825851,0.045874182134866714,0.008547818288207054
st_station_bias_delta_forecast,2025,1016,-0.365160197019577,0.036762818694114685,0.011153573170304298
st_station_bias_delta_forecast,2025,1018,-0.09851587563753128,0.04762394726276398,0.011636877432465553
st_station_bias_delta_forecast,2025,1020,0.05136041343212128,0.05568011477589607,0.013043416664004326
st_station_bias_delta_forecast,2025,1022,0.342704713344574,0.0762060210108757,0.036223672330379486
st_station_bias_delta_forecast,2025,1023,0.38469138741493225,0.08520714193582535,0.041207440197467804
st_station_bias_delta_forecast,2026,1002,0.05563528463244438,0.0562608577311039,0.004758727736771107
st_station_bias_delta_forecast,2026,1003,0.10043468326330185,0.05755718797445297,0.005313831847161055
st_station_bias_delta_forecast,2026,1004,0.1184808537364006,0.05893895775079727,0.004363360349088907
st_station_bias_delta_forecast,2026,1005,-0.058549486100673676,0.04982608184218407,0.0037061951588839293
st_station_bias_delta_forecast,2026,1006,0.008909395895898342,0.05278262123465538,0.003676193067803979
st_station_bias_delta_forecast,2026,1007,-0.002986844861879945,0.05236881971359253,0.006122363265603781
st_station_bias_delta_forecast,2026,1008,0.029129866510629654,0.0545211024582386,0.008035982958972454
st_station_bias_delta_forecast,2026,1009,-0.06479623168706894,0.04881194978952408,0.0033007944002747536
st_station_bias_delta_forecast,2026,1010,0.020089296624064445,0.05411042273044586,0.0035647002514451742
st_station_bias_delta_forecast,2026,1011,-0.055121004581451416,0.04994678124785423,0.004095923155546188
st_station_bias_delta_forecast,2026,1012,-0.12033713608980179,0.046796925365924835,0.004584145732223988
st_station_bias_delta_forecast,2026,1014,-0.1192973181605339,0.04694944620132446,0.003532706294208765
st_station_bias_delta_forecast,2026,1015,-0.0737399235367775,0.048581041395664215,0.003109026001766324
st_station_bias_delta_forecast,2026,1016,-0.12845146656036377,0.046201255172491074,0.003939048387110233
st_station_bias_delta_forecast,2026,1018,0.09308413416147232,0.05846918374300003,0.004476211033761501
st_station_bias_delta_forecast,2026,1020,0.01559811644256115,0.052939511835575104,0.004324133042246103
st_station_bias_delta_forecast,2026,1022,-0.18797415494918823,0.043917667120695114,0.005534027703106403
st_station_bias_delta_forecast,2026,1023,0.21193020045757294,0.06439764052629471,0.007120864931493998
