variant,seed,best_epoch,beta,trainable_parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
st_rfft,2047,30,0.1220192238688469,3015,0.3155961036682129,0.5617794083697024,0.339596688747406,41.75741958618164,25.24243927001953,38.680267333984375
st_time,2047,30,0.11953941732645035,3015,0.3144962787628174,0.5607996779268132,0.3394128978252411,41.684593200683594,25.228775024414062,38.64181137084961
st_rfft,2048,5,0.10275986790657043,3015,0.3149380683898926,0.5611934322405178,0.3480841815471649,41.713863372802734,25.873319625854492,39.86030960083008
st_time,2048,29,0.11397290229797363,3015,0.31427180767059326,0.5605995073763383,0.3462177813053131,41.66971969604492,25.734586715698242,40.12667465209961
st_rfft,2049,14,0.11199983954429626,3015,0.31600743532180786,0.5621453862852632,0.3425825536251068,41.78462600708008,25.464378356933594,38.79524612426758
st_time,2049,30,0.1223270520567894,3015,0.3156958818435669,0.5618682068275147,0.34198200702667236,41.76401901245117,25.419740676879883,38.98223876953125
st_rfft,2050,7,0.1070285439491272,3015,0.3185919523239136,0.5644395028024825,0.34483063220977783,41.95514678955078,25.631479263305664,39.20900344848633
st_time,2050,30,0.12033570557832718,3015,0.3187899589538574,0.5646148766671468,0.3446066081523895,41.96818161010742,25.614826202392578,39.815982818603516
st_rfft,2051,16,0.10981089621782303,3015,0.31331968307495117,0.5597496610762271,0.34161219000816345,41.60654830932617,25.392250061035156,39.136741638183594
st_time,2051,28,0.11496119201183319,3015,0.31352588534355164,0.5599338222893413,0.3414822816848755,41.620235443115234,25.38259506225586,39.34925842285156
