task,seed,variant,scenario,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,F00,high_pollution,192,34.8651588009583,21.35760239760081,8.489243170249198,-4.938340306282043
24h_1h,2060,F00,rapid_rise,125,40.23724788034559,31.093784912109378,26.83036892508859,-31.093784912109378
24h_1h,2060,F00,decline,105,50.45521855360116,39.411064947219124,38.323862304922734,39.233418782552086
24h_1h,2060,F00,ordinary,539,7.10578645862756,5.175707567600682,23.083270544510246,0.3201780655388487
24h_1h,2060,F10,high_pollution,192,34.83195118318611,22.170439918835957,8.829485325297243,-10.236438632011412
24h_1h,2060,F10,rapid_rise,125,40.37852623244316,31.763381896972657,24.80664823837643,-31.763381896972657
24h_1h,2060,F10,decline,105,45.696194755209895,34.58837552751814,35.510571644970135,34.22486815679641
24h_1h,2060,F10,ordinary,539,6.6476970445833885,4.944068823763081,21.605005333221314,0.3755881428055064
24h_1h,2060,F01,high_pollution,192,34.85467325663861,21.635042746861775,8.608440458759087,-6.564677158991498
24h_1h,2060,F01,rapid_rise,125,40.08780077872668,30.65041439819336,25.58689421022111,-30.65041439819336
24h_1h,2060,F01,decline,105,49.36423901064412,38.46383321852911,37.7008655535597,38.11917234148298
24h_1h,2060,F01,ordinary,539,6.719614912459888,4.943413757437456,22.439744572828765,0.5360061419032278
24h_1h,2060,F11,high_pollution,192,34.87090553867957,22.41274885336558,8.928979102847022,-10.808420697848005
24h_1h,2060,F11,rapid_rise,125,40.283470895370314,31.440147674560546,24.571569676572114,-31.440147674560546
24h_1h,2060,F11,decline,105,45.18387334764796,33.99555704025995,34.938640523411365,33.53893821353004
24h_1h,2060,F11,ordinary,539,6.6022305524983,4.868463569315555,21.646314704849868,-0.1493861989320321
24h_1h,2060,B1,high_pollution,192,35.06645837143689,22.46981946627299,8.959511009908105,-10.450931787490847
24h_1h,2060,B1,rapid_rise,125,40.311527226906975,31.430939422607423,24.441903636476027,-31.430939422607423
24h_1h,2060,B1,decline,105,45.311091885720494,34.16336128598168,34.98589484513835,33.69332591465541
24h_1h,2060,B1,ordinary,539,6.603676703247905,4.889917808914892,21.6215138232203,0.10697002092407468
24h_1h,2060,B2,high_pollution,192,34.736005620227374,22.609400987625122,8.979830923510653,-11.288422346115112
24h_1h,2060,B2,rapid_rise,125,39.8871426527544,30.962101806640625,23.637169013602115,-30.962101806640625
24h_1h,2060,B2,decline,105,44.82221545735134,33.77160270327614,34.85038505166525,33.22876241774786
24h_1h,2060,B2,ordinary,539,6.520679867271592,4.897358245000326,21.89672299268758,0.4395250451365736
