task,seed,metric,F00,F01,F10,F11,G_A_given_S0,G_A_given_S1,G_S_given_A0,G_comb,I,R_attn
24h_1h,2060,rmse_ugm3,24.13530731955638,23.78883257351598,23.0516516762849,22.942167575171293,0.34647474604039985,0.10948410111360829,1.0836556432714772,1.1931397443850855,0.23699064492679156,0.6840055375901996
24h_1h,2060,mae_ugm3,13.343014708392696,13.090268470380948,12.888631215378574,12.803778578701628,0.25274623801174734,0.08485263667694554,0.45438349301412195,0.5392361296910675,0.1678936013348018,0.6642773504980846
24h_1h,2060,smape_percent,23.0088071012451,22.391332595836285,21.5323432117667,21.489375647550442,0.6174745054088149,0.04296756421625858,1.4764638894783992,1.5194314536946578,0.5745069411925563,0.9304140270733756
24h_1h,2061,rmse_ugm3,24.042996288005725,23.76835486166788,23.097931867595463,22.742973598578573,0.27464142633784405,0.3549582690168904,0.9450644204102616,1.300022689427152,-0.08031684267904637,-0.2924425631996479
24h_1h,2061,mae_ugm3,13.045512264722014,12.899906694072566,12.933830222038374,12.671154666709029,0.14560557064944746,0.26267555532934495,0.11168204268363979,0.37435759801298474,-0.11706998467989749,-0.8040213307617825
24h_1h,2061,smape_percent,21.56291034290856,21.357290227650445,21.893901159196897,21.874482105364653,0.20562011525811386,0.019419053832244515,-0.33099081628833815,-0.31157176245609364,0.18620106142586934,0.9055585889159342
24h_1h,2062,rmse_ugm3,23.72434618450961,23.554653964643695,22.54460435781049,22.429261530782213,0.1696922198659152,0.11534282702827525,1.1797418266991215,1.2950846537273968,0.054349392837639954,0.3202821725155397
24h_1h,2062,mae_ugm3,12.946541633780145,12.856470208189803,12.70484791934218,12.598238069717198,0.09007142559034165,0.10660984962498254,0.2416937144379645,0.34830356406294705,-0.016538424034640897,-0.18361454730227234
24h_1h,2062,smape_percent,22.271520590410752,21.59952284022029,22.62558146731875,22.28956459278375,0.6719977501904637,0.33601687453499807,-0.35406087690799737,-0.0180440023729993,0.33598087565546564,0.49997321502972125
168h_6h,2060,rmse_ugm3,51.52961004306552,51.200773159710515,51.0198440154861,50.67266713301023,0.3288368833550024,0.3471768824758712,0.5097660275794169,0.8569429100552881,-0.01833999912086881,-0.0557723298364603
168h_6h,2060,mae_ugm3,34.31505618440298,33.93668321389784,33.83744295137028,33.51127813129739,0.37837297050513996,0.32616482007288994,0.47761323303269876,0.8037780531055887,0.05220815043225002,0.13798065533737913
168h_6h,2060,smape_percent,52.23687390710725,52.02318794078366,52.409617672939824,51.41362488269118,0.21368596632359527,0.9959927902486427,-0.17274376583257123,0.8232490244160715,-0.7823068239250475,-3.661011705094201
168h_6h,2061,rmse_ugm3,50.97410899834434,50.6418188531745,50.4575367234481,50.225432570770806,0.3322901451698428,0.23210415267729445,0.5165722748962409,0.7486764275735354,0.10018599249254834,0.3015015460098598
168h_6h,2061,mae_ugm3,33.5141211990374,33.03687049874482,33.34457067014429,32.93907576048917,0.4772507002925792,0.40549490965512547,0.1695505288931045,0.57504543854823,0.07175579063745374,0.15035240512683112
168h_6h,2061,smape_percent,50.36218597868972,50.48771075686772,50.2400973140232,50.437532467695135,-0.12552477817799712,-0.19743515367193254,0.12208866466652069,-0.07534648900541185,0.07191037549393542,
168h_6h,2062,rmse_ugm3,51.47266686584198,51.34632672301612,50.968045526216166,50.81937037664833,0.12634014282586037,0.14867514956783623,0.5046213396258139,0.6532964891936501,-0.02233500674197586,-0.1767847197447061
168h_6h,2062,mae_ugm3,33.615005963249224,33.3976257388454,33.46121260857974,33.32763556397559,0.21738022440382565,0.1335770446041522,0.15379335466948163,0.28737039927363384,0.08380317979967344,0.38551427587080267
168h_6h,2062,smape_percent,51.24144295486036,51.13837587355965,51.24048436920844,51.08218548570661,0.10306708130070774,0.1582988835018284,0.0009585856519223057,0.15925746915375072,-0.05523180220112067,-0.5358820828541442
