task,seed,variant,horizon_step,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,F00,1,876,24.13530731955638,13.343014708392696,23.0088071012451,0.2859987276329843
24h_1h,2060,F10,1,876,23.0516516762849,12.888631215378574,21.5323432117667,-1.0012193488203767
24h_1h,2060,F01,1,876,23.78883257351598,13.090268470380948,22.391332595836285,0.09050907500802625
24h_1h,2060,F11,1,876,22.942167575171293,12.803778578701628,21.489375647550442,-1.4535939421283608
24h_1h,2060,B1,1,876,22.965857161380555,12.81703417268518,21.454444448677226,-1.225837711874209
24h_1h,2060,B2,1,876,22.788506415041194,12.804264046830129,21.53026201830623,-1.1399703744339615
24h_1h,2060,B_flat,1,876,22.688480550608894,12.77939290869726,22.433846496716406,-0.6469232350179601
24h_1h,2060,B3,1,876,23.055152902543206,12.88931646738967,21.496019442641014,-1.0907370118790027
24h_1h,2061,F00,1,876,24.042996288005725,13.045512264722014,21.56291034290856,-0.05353000936987245
24h_1h,2061,F10,1,876,23.097931867595463,12.933830222038374,21.893901159196897,-0.5174768047245668
24h_1h,2061,F01,1,876,23.76835486166788,12.899906694072566,21.357290227650445,0.5330019519753653
24h_1h,2061,F11,1,876,22.742973598578573,12.671154666709029,21.874482105364653,-0.012195160399833356
24h_1h,2061,B1,1,876,22.968402887259487,12.81448656021188,21.686942489292917,-0.9249706442497639
24h_1h,2061,B2,1,876,22.74237439811676,12.57392443042912,21.78163496442201,-0.4552788712662652
24h_1h,2061,B_flat,1,876,22.649995153086792,12.702593289553848,23.32239517048647,-0.3535454676031525
24h_1h,2061,B3,1,876,23.100137436420425,12.932877510105639,21.856312236773526,-0.6331735637089978
24h_1h,2062,F00,1,876,23.72434618450961,12.946541633780145,22.271520590410752,-0.5612808297213894
24h_1h,2062,F10,1,876,22.54460435781049,12.70484791934218,22.62558146731875,-1.3479314830205213
24h_1h,2062,F01,1,876,23.554653964643695,12.856470208189803,21.59952284022029,-0.2646039022158271
24h_1h,2062,F11,1,876,22.429261530782213,12.598238069717198,22.28956459278375,-1.3270516591529329
24h_1h,2062,B1,1,876,22.49055588763957,12.629961140079585,22.51049890996691,-1.4453244361703255
24h_1h,2062,B2,1,876,22.282781664807032,12.461911606462035,21.937357234775803,-1.1393821751146012
24h_1h,2062,B_flat,1,876,22.287651111277082,12.543266013332698,22.624669898953833,-0.9848095575968429
24h_1h,2062,B3,1,876,22.54351384634673,12.736751290761173,22.779678820557,-1.4554840549486419
168h_6h,2060,F00,1,871,27.39794844176167,17.583770313985585,31.423422238296666,-1.2596788110743982
168h_6h,2060,F00,2,871,39.75761904861519,25.86295855113751,42.95834952932584,-0.3549677107555861
168h_6h,2060,F00,3,871,48.622616614065755,32.68388419693291,52.178985031536214,-2.50196504209674
168h_6h,2060,F00,4,871,55.45368167298486,38.07939287660864,57.25149365559818,-2.7219832209029793
168h_6h,2060,F00,5,871,61.292659206390454,43.48977107541843,63.2079177840424,-4.110237796052042
168h_6h,2060,F00,6,871,66.36586988680455,48.19056009233477,66.40107520384417,-4.6051706211164545
168h_6h,2060,F10,1,871,26.598170456678872,16.45013146559215,32.35856737494219,-1.1921087586920789
168h_6h,2060,F10,2,871,39.19077535284421,25.35011085659163,43.083848295965865,-0.8669574619297596
168h_6h,2060,F10,3,871,48.23512257253654,32.30188431066432,52.10052935865386,-2.853142148181027
168h_6h,2060,F10,4,871,55.02813703338794,37.72577381243525,57.147303757129855,-2.7559685384091237
