task,train_seed,diagnostic_origin_count,G_orig,mean_G_shuffle,L_s,G_orig_positive,shuffle_loss_at_least_50_percent
24h_1h,2060,864,0.10537946483121274,0.01868257875305872,0.8227113908484658,True,True
24h_1h,2061,864,0.35156287020791765,-0.04104104414904981,1.1167388470937722,True,True
24h_1h,2062,864,0.116876829850316,0.061880757583757176,0.4705472619080464,True,False
168h_6h,2060,864,0.34163463015301687,0.09832704664976433,0.7121865350543533,True,True
168h_6h,2061,864,0.22816895242578994,0.1843817180879185,0.19190706655022605,True,False
168h_6h,2062,864,0.13788002728811932,0.01778956625387309,0.870977932019847,True,True
