variant,seed,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,initialized_from_degraded,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,disable_neighbor_rmse_ugm3,disable_neighbor_mae_ugm3,zero_neighbor_rmse_ugm3,zero_neighbor_mae_ugm3,shuffle_neighbor_rmse_ugm3,shuffle_neighbor_mae_ugm3,center_copy_neighbor_rmse_ugm3,center_copy_neighbor_mae_ugm3,alpha,spatial_residual_rms_ratio,gate_normalized_entropy,null_neighbor_weight_mean,gate_sample_std_mean,neighbor_out_weight_norm,spatial_forecast_weight_norm,fusion_stage
degraded_patchtst,2024,21,0.10150600969791412,11.734559133998118,0.00845127200591378,valid,21267,21264,False,0.10150600969791412,0.318600077994206,0.17280206084251404,23.741989135742188,12.877161026000977,20.935197830200195,23.741989135742188,12.877161026000977,23.741989135742188,12.877161026000977,23.741989135742188,12.877161026000977,23.741989135742188,12.877161026000977,0.0,0.0,0.9995831251144409,0.053006649017333984,0.0022502876818180084,0.0,0.0,input
st_pairwise_delta_forecast,2024,30,0.09251092374324799,12.273917251994135,0.020659187001001555,valid,21268,21265,False,0.09251092374324799,0.304156084508017,0.1716754287481308,22.665626525878906,12.793203353881836,21.71844482421875,23.696889877319336,13.311860084533691,24.360315322875977,15.11791706085205,24.852998733520508,15.25637435913086,23.492137908935547,13.026844024658203,0.11875845491886139,0.03736982054922356,0.9682953953742981,0.044844042509794235,0.025221019983291626,0.0,0.6762547492980957,forecast
st_sparse_delta_forecast,2024,30,0.09209820628166199,12.76195230900339,0.009335999995528255,valid,21268,21265,False,0.09209820628166199,0.30347686284404285,0.17125464975833893,22.61501121520996,12.761848449707031,22.001007080078125,23.783723831176758,13.47225570678711,24.508678436279297,15.109296798706055,25.021772384643555,15.456570625305176,23.435550689697266,12.997575759887695,0.11923082917928696,0.039676688640863156,0.6841046214103699,0.18016529083251953,0.05977125093340874,0.0,0.6813069581985474,forecast
