variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,29,0.13415832817554474,30,1572,9.057825435356913,6.253834017668805,20.80870104239681,5106
st_time,7001,27,0.13156960904598236,30,1572,9.049836979805272,6.240756695288282,20.73706142493815,5106
st_rfft,7002,1,0.100401371717453,7,1572,9.146182181375359,6.338066043173898,20.95352780273459,5106
st_time,7002,1,0.10088565945625305,7,1572,9.135854232327356,6.330943024303228,20.934629811805998,5106
st_rfft,7003,28,0.1367453932762146,30,1572,9.06789895405196,6.271300839201124,20.9178126188526,5106
st_time,7003,28,0.13170988857746124,30,1572,9.061422552072179,6.257365438175164,20.820312206396046,5106
st_rfft,7004,29,0.1536351889371872,30,1572,9.186333122439548,6.359821676694315,21.17245863189868,5106
st_time,7004,30,0.15145811438560486,30,1572,9.184533317108729,6.347707033063961,21.1067774247485,5106
st_rfft,7005,17,0.11626199632883072,23,1572,9.100409564853539,6.286750785612472,20.82454422907559,5106
st_time,7005,4,0.10292866826057434,10,1572,9.123206099065236,6.298884851998831,20.821165325011588,5106
