variant,seed,horizon_step,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
degraded_patchtst_clean,2052,1,0.36402639746665955,0.6033460014507923,0.44818437099456787,44.972904205322266,33.407291412353516,71.5003433227539
degraded_patchtst_clean,2052,2,0.4814548194408417,0.6938694541776873,0.5176264643669128,51.7204475402832,38.58344268798828,74.51512145996094
degraded_patchtst_clean,2052,3,0.5958605408668518,0.7719200352801135,0.5579354763031006,57.53826904296875,41.58804702758789,71.55809020996094
degraded_patchtst_clean,2052,4,0.7299554944038391,0.8543743292046169,0.619597852230072,63.68434524536133,46.18430709838867,77.16685485839844
degraded_patchtst_clean,2052,5,0.8249938488006592,0.9082917200991426,0.6702174544334412,67.70330047607422,49.95744705200195,77.55195617675781
degraded_patchtst_clean,2052,6,0.9813041687011719,0.9906079793244005,0.7442930936813354,73.8390884399414,55.478981018066406,82.0358657836914
locked_st_clean,2052,1,0.3427720367908478,0.5854673661194514,0.42479220032691956,43.6402473449707,31.66365623474121,63.88460922241211
locked_st_clean,2052,2,0.45910343527793884,0.6775717196562581,0.49561795592308044,50.50563049316406,36.94294357299805,68.91001892089844
locked_st_clean,2052,3,0.570263147354126,0.7551576970104495,0.5335875749588013,56.288822174072266,39.77316665649414,65.14044189453125
locked_st_clean,2052,4,0.7033555507659912,0.8386629542110413,0.5990321040153503,62.51322937011719,44.65135192871094,71.76286315917969
locked_st_clean,2052,5,0.8040317296981812,0.896678163946341,0.6533319354057312,66.837646484375,48.698814392089844,72.34989166259766
locked_st_clean,2052,6,0.9642340540885925,0.9819542016247971,0.7315858602523804,73.19403839111328,54.531795501708984,77.73544311523438
