condition,pollutant,alpha_mean,alpha_std,alpha_min,alpha_max
alpha_zero,PM2.5,0.0,0.0,0.0,0.0
alpha_zero,PM10,0.0,0.0,0.0,0.0
alpha_zero,NO2,0.0,0.0,0.0,0.0
alpha_zero,CO,0.0,0.0,0.0,0.0
alpha_zero,O3,0.0,0.0,0.0,0.0
alpha_zero,SO2,0.0,0.0,0.0,0.0
uniform_alpha,PM2.5,0.015642306857275176,0.0005883222917350295,0.01522862126455433,0.016315809370917644
uniform_alpha,PM10,0.015642306857275176,0.0005883222917350295,0.01522862126455433,0.016315809370917644
uniform_alpha,NO2,0.015642306857275176,0.0005883222917350295,0.01522862126455433,0.016315809370917644
uniform_alpha,CO,0.015642306857275176,0.0005883222917350295,0.01522862126455433,0.016315809370917644
uniform_alpha,O3,0.015642306857275176,0.0005883222917350295,0.01522862126455433,0.016315809370917644
uniform_alpha,SO2,0.015642306857275176,0.0005883222917350295,0.01522862126455433,0.016315809370917644
per_pollutant_alpha,PM2.5,0.32466395146642313,0.018716586910769883,0.3059045428694418,0.3433374207397251
per_pollutant_alpha,PM10,0.006295465265923763,0.00022441424229845068,0.0060860948517879685,0.006532380478700812
per_pollutant_alpha,NO2,0.024053545565035413,0.0010471709886599005,0.022869836294835976,0.024859155556147313
per_pollutant_alpha,CO,0.003781159927283522,4.027357850545647e-05,0.003734700630405145,0.003806153499136648
per_pollutant_alpha,O3,0.0,0.0,0.0,0.0
per_pollutant_alpha,SO2,0.03819627832866792,0.0017662131625541518,0.0368672050199341,0.04020047241707834
learnable_alpha,PM2.5,0.3124460279941559,0.0002693921303028498,0.3121577203273773,0.312691330909729
learnable_alpha,PM10,0.014676150244971117,7.811695428554014e-05,0.014594542793929577,0.014750231988728046
learnable_alpha,NO2,0.03739673892656962,1.4270296367130736e-05,0.03738124668598175,0.03740934655070305
learnable_alpha,CO,0.006659365724772215,7.211331271490647e-05,0.00658400496467948,0.006727720145136118
learnable_alpha,O3,0.021968364094694454,4.043145158756076e-05,0.02193840965628624,0.022014353424310684
learnable_alpha,SO2,0.05076718827088674,2.5930397471081368e-05,0.050745148211717606,0.05079576000571251
