seed,PM2.5,PM10,NO2,CO,O3,SO2,valid_mse
20260809,0.3466652756,0.0078008775,0.0245947396,0.0035133438,0.0,0.0327507060,0.6966842563
20260810,0.3165467071,0.0075017760,0.0247440587,0.0036301411,0.0,0.0360949900,0.7041517243
