condition,n,elapsed_minutes_mean,total_params,trainable_params,valid_mse_mean,valid_mse_std,valid_mse_ci_low,valid_mse_ci_high,valid_rmse_mean,valid_rmse_std,valid_rmse_ci_low,valid_rmse_ci_high,valid_mae_mean,valid_mae_std,valid_mae_ci_low,valid_mae_ci_high,mse_improvement_vs_strict_percent
strict_patchtst,3,6.3830194116723655,49907,49904,0.7154527515074968,0.001327248477403105,0.7121556835119165,0.718749819503077,0.8458441589882271,0.0007844230320709246,0.8438955441522942,0.84779277382416,0.5547281299182848,0.000496834217039447,0.5534939253032491,0.5559623345333204,0.0
alpha_zero,3,6.479304793466549,66211,66208,0.7162188811187603,0.005453284223438478,0.7026721721264236,0.729765590111097,0.8462930619914862,0.0032251380981695183,0.8382813748162206,0.8543047491667519,0.5545010039539322,0.0016249114424665553,0.5504645001614464,0.558537507746418,-0.10708318748502518
uniform_alpha,3,7.856570388805671,66211,66208,0.7026535295441914,0.004348225550009786,0.6918519384762157,0.713455120612167,0.8382416371841698,0.0025943886546313066,0.8317968184882629,0.8446864558800766,0.5517837437571371,0.0012760096115932474,0.5486139601604224,0.5549535273538518,1.7889681654500273
per_pollutant_alpha,3,7.986231742872365,66211,66208,0.7026582513464527,0.0036241235658469777,0.6936554293244891,0.7116610733684162,0.8382452719069695,0.002161760415812428,0.8328751613342807,0.8436153824796583,0.5525649217106579,0.000576884960684303,0.5511318600244803,0.5539979833968354,1.7883081914333854
learnable_alpha,3,7.795325811361059,66217,66214,0.7048937398912848,0.005072775199008311,0.6922922677161965,0.7174952120663731,0.83957587732782,0.003021448453821338,0.8320701832795727,0.8470815713760673,0.5548381257377176,0.0009708401567187953,0.5524264250923309,0.5572498263831044,1.4758503051338585
