condition,n,epochs_mean,elapsed_minutes_mean,elapsed_minutes_std,total_params,trainable_params,valid_mse_mean,valid_mse_std,valid_mse_ci_low,valid_mse_ci_high,valid_rmse_mean,valid_rmse_std,valid_rmse_ci_low,valid_rmse_ci_high,valid_mae_mean,valid_mae_std,valid_mae_ci_low,valid_mae_ci_high
alpha_zero,3,30.0,6.479304793466549,0.013752327177748004,66211,66208,0.7162188811187603,0.005453284223438478,0.7026721721264236,0.729765590111097,0.8462930619914862,0.0032251380981695183,0.8382813748162206,0.8543047491667519,0.5545010039539322,0.0016249114424665553,0.5504645001614464,0.558537507746418
uniform_alpha,3,30.0,7.856570388805671,0.009610864625329596,66211,66208,0.7026535295441914,0.004348225550009786,0.6918519384762157,0.713455120612167,0.8382416371841698,0.0025943886546313066,0.8317968184882629,0.8446864558800766,0.5517837437571371,0.0012760096115932474,0.5486139601604224,0.5549535273538518
per_pollutant_alpha,3,30.0,7.986231742872365,0.1412029246544463,66211,66208,0.7026582513464527,0.0036241235658469777,0.6936554293244891,0.7116610733684162,0.8382452719069695,0.002161760415812428,0.8328751613342807,0.8436153824796583,0.5525649217106579,0.000576884960684303,0.5511318600244803,0.5539979833968354
learnable_alpha,3,30.0,7.795325811361059,0.018766967113176745,66217,66214,0.7048937398912848,0.005072775199008311,0.6922922677161965,0.7174952120663731,0.83957587732782,0.003021448453821338,0.8320701832795727,0.8470815713760673,0.5548381257377176,0.0009708401567187953,0.5524264250923309,0.5572498263831044
