comparison,mean_mse_reduction,mean_improvement_percent,min_improvement_percent,max_improvement_percent,paired_t,df,p_raw,cohen_dz,p_holm
strict_patchtst - alpha_zero,-0.0007661296112637291,-0.10656262687158856,-0.4978164291334329,0.6144215439238542,-0.29687043598260954,2,0.7945585980565076,-0.17139822612900119,0.7945585980565076
strict_patchtst - uniform_alpha,0.012799221963305333,1.7894447130771827,1.4255990173725108,2.2820786736833734,7.049933951909014,2,0.01953253280185657,4.070281264903751,0.058597598405569704
strict_patchtst - per_pollutant_alpha,0.012794500161043998,1.7886873851130198,1.486992114324436,2.14779444946213,9.356029423025522,2,0.011231858236951654,5.401706105929844,0.044927432947806614
strict_patchtst - learnable_alpha,0.010559011616212052,1.476461063696699,0.9899043912023514,2.0531843393000604,4.779745408232224,2,0.041092269336526904,2.7595872981007528,0.08218453867305381
