comparison,mean_mse_difference,std_mse_difference,relative_difference_percent,paired_t,df,p_raw,cohen_dz,p_holm
alpha_zero - uniform_alpha,0.013565351574569062,0.0017705825202560639,1.8940231725501961,13.270140126702527,2,0.0056307825821091395,7.66151897433576,0.028153912910545698
alpha_zero - per_pollutant_alpha,0.013560629772307728,0.0025005295846328764,1.8933639044987929,9.39309012483313,2,0.011144875097003746,5.423103112094823,0.03548213609260501
alpha_zero - learnable_alpha,0.01132514122747578,0.00185987390425385,1.5812402501572551,10.546801029906653,2,0.008870534023151253,6.089198413706028,0.03548213609260501
uniform_alpha - per_pollutant_alpha,-4.721802261335266e-06,0.0008273079200305677,-0.0006719958077202402,-0.009885559199800867,2,0.9930100248244877,-0.005707430265095011,0.9930100248244877
learnable_alpha - per_pollutant_alpha,0.0022354885448319464,0.0014577910549517991,0.31713837395927563,2.6560594717842956,2,0.11732278664522089,1.5334766510183184,0.23464557329044178
