variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2049,completed,10,0.54163658618927,4.530702475007274,0.014140789993689395,test,17287,17284,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2049.npz,0.5157229900360107,0.7181385590789641,0.49771201610565186,53.487396240234375,37.06989288330078,55.4615364074707,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 48, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
patchtst_ci_all_default,patchtst_ci_all,2047,completed,17,0.1022227481007576,91.31463330100814,0.19672324799466878,test,17064,17061,C,default,default,18,,predictions/patchtst_ci_all_default_seed2047.npz,0.08630882203578949,0.29378363132718865,0.14411309361457825,21.881183624267578,10.733631134033203,19.57052230834961,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 48, ""stride"": 2}"
patchtst_ci_all_default,patchtst_ci_all,2048,completed,25,0.10230664908885956,118.28020963100425,0.1960317300108727,test,17064,17061,C,default,default,18,,predictions/patchtst_ci_all_default_seed2048.npz,0.0839514210820198,0.28974371620799616,0.13852547109127045,21.58028793334961,10.317461013793945,17.12702178955078,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 48, ""stride"": 2}"
patchtst_ci_all_default,patchtst_ci_all,2049,completed,37,0.10124879330396652,143.07272951101186,0.19602044599014334,test,17064,17061,C,default,default,18,,predictions/patchtst_ci_all_default_seed2049.npz,0.08277032524347305,0.287698323324056,0.136504665017128,21.427946090698242,10.166950225830078,16.93194580078125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 18, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 48, ""stride"": 2}"
patchtst_ci_top5_default,patchtst_ci_top5,2047,completed,38,0.10038398951292038,50.51498636099859,0.06063128799723927,test,17040,17037,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2047.npz,0.08230516314506531,0.2868887644106428,0.13919994235038757,21.36764907836914,10.367695808410645,16.536815643310547,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 48, ""stride"": 2}"
patchtst_ci_top5_default,patchtst_ci_top5,2048,completed,29,0.10285264998674393,45.5208832520002,0.06099036100204103,test,17040,17037,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2048.npz,0.08423420786857605,0.29023130063550356,0.1412612646818161,21.61660385131836,10.521223068237305,17.235187530517578,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 48, ""stride"": 2}"
patchtst_ci_top5_default,patchtst_ci_top5,2049,completed,28,0.10183453559875488,44.142468781006755,0.060999718989478424,test,17040,17037,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2049.npz,0.0843234658241272,0.2903850303030912,0.1401650607585907,21.628053665161133,10.439579010009766,16.6115779876709,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 48, ""stride"": 2}"
multi_gru_default,multi_gru,2047,completed,22,0.08795339614152908,8.36173791300098,0.017119094991357997,test,36101,36101,C,default,default,18,,predictions/multi_gru_default_seed2047.npz,0.07051654160022736,0.265549508755387,0.1316753476858139,19.778287887573242,9.807260513305664,16.52417755126953,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}"
multi_gru_default,multi_gru,2048,completed,35,0.08563996106386185,10.869487709991517,0.017336931006866507,test,36101,36101,C,default,default,18,,predictions/multi_gru_default_seed2048.npz,0.073665089905262,0.2714131351008311,0.13231538236141205,20.21501350402832,9.854930877685547,16.875078201293945,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}"
multi_gru_default,multi_gru,2049,completed,24,0.08715730905532837,8.88614475200302,0.01718773299944587,test,36101,36101,C,default,default,18,,predictions/multi_gru_default_seed2049.npz,0.07192128151655197,0.26818143395200195,0.13395938277244568,19.974313735961914,9.977375984191895,17.475807189941406,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}"
