attempt,task,runs,baseline_rmse_ugm3_mean,candidate_rmse_ugm3_mean,rmse_reduction_percent_mean,rmse_reduction_percent_std,rmse_reduction_bootstrap_ci95_low,rmse_reduction_bootstrap_ci95_high,rmse_improved_seed_count,one_sided_exact_sign_p,practical_threshold_percent,direction_gate_pass,practical_gate_pass,strict_task_gate_pass,baseline_mae_ugm3_mean,candidate_mae_ugm3_mean,mae_improved_seed_count
joint_2027_2031,24h_to_1h,5,21.35562515258789,20.839981460571288,2.4150227761048138,0.24097214634013864,2.23459476291621,2.6164159069262887,5,0.03125,1.0,True,True,True,10.142838096618652,9.995991897583007,5
joint_2027_2031,168h_to_6h,5,42.71409912109375,42.44288558959961,0.6262308586234393,0.865864851270772,0.0013980551082090954,1.3544510797122957,4,0.1875,0.5,False,True,False,26.744526672363282,26.239263153076173,4
frozen_2032_2036,24h_to_1h,5,21.457460021972658,20.822069931030274,2.961066477449724,0.22955834311323867,2.765186644139683,3.128599936127615,5,0.03125,1.0,True,True,True,10.104623222351075,9.97975025177002,5
frozen_2032_2036,168h_to_6h,5,42.517364501953125,42.39553985595703,0.28809043230598397,0.12689030901236842,0.19397373711698784,0.3882670835120987,5,0.03125,0.5,True,False,False,26.131855392456053,26.058429718017578,3
anchored_2037_2041,24h_to_1h,5,21.347796630859374,20.703275680541992,3.019335881190836,0.18268871997817207,2.887819951221863,3.1787811280473397,5,0.03125,1.0,True,True,True,10.051453781127929,9.87419147491455,5
anchored_2037_2041,168h_to_6h,5,42.462006378173825,42.18683547973633,0.6498670022691971,0.5783710922963121,0.17999966093371964,1.0612470642822158,4,0.1875,0.5,False,True,False,26.356052017211915,25.81801109313965,4
frozen_sparse_station_2042_2046,24h_to_1h,5,21.443876266479492,20.753932571411134,3.2185879413360583,0.3883167490169012,2.8736233826960116,3.46194659062773,5,0.03125,1.0,True,True,True,10.134872817993164,9.990202140808105,5
frozen_sparse_station_2042_2046,168h_to_6h,5,42.591950225830075,42.38207321166992,0.49693343211905416,0.4133376989332339,0.2137614399236222,0.8415145653821139,5,0.03125,0.5,True,False,False,26.42320671081543,26.21793441772461,4
frozen_topk5_2047_2051,24h_to_1h,5,21.288786697387696,20.624977111816406,3.1187551702330234,0.2408640243941907,2.942420163923667,3.323989914749584,5,0.03125,1.0,True,True,True,10.101378440856934,9.981670951843261,5
frozen_topk5_2047_2051,168h_to_6h,5,42.26678695678711,41.9194953918457,0.8219866675021015,0.19914512288945505,0.6692980980399656,0.9734519494680413,5,0.03125,0.5,True,True,True,26.174923706054688,25.867573928833007,5
