attempt,task,seed,candidate_variant,baseline_rmse_ugm3,candidate_rmse_ugm3,rmse_reduction_percent,baseline_mae_ugm3,candidate_mae_ugm3,mae_reduction_percent
joint_2027_2031,24h_to_1h,2027,st_station_bias_delta_forecast,21.290891647338867,20.701284408569336,2.769293313477671,10.166000366210938,10.04511547088623,1.1891096888654071
joint_2027_2031,24h_to_1h,2028,st_station_bias_delta_forecast,21.37035369873047,20.919496536254883,2.1097318688851163,10.08506679534912,10.008711814880373,0.7571093183434214
joint_2027_2031,24h_to_1h,2029,st_station_bias_delta_forecast,21.288938522338867,20.773344039916992,2.421889103962851,10.14655590057373,10.119351387023926,0.26811574110843295
joint_2027_2031,24h_to_1h,2030,st_station_bias_delta_forecast,21.29358673095703,20.76882553100586,2.4644096205185755,10.094400405883787,9.84745979309082,2.446312835470952
joint_2027_2031,24h_to_1h,2031,st_station_bias_delta_forecast,21.53435516357422,21.03695678710937,2.3097899736798544,10.222167015075684,9.959321022033691,2.571333384147863
joint_2027_2031,168h_to_6h,2027,st_station_bias_delta_forecast,42.26881790161133,42.45681381225586,-0.4447626405879798,26.399608612060547,26.05975914001465,1.2873276912546334
joint_2027_2031,168h_to_6h,2028,st_station_bias_delta_forecast,42.15562438964844,41.7965087890625,0.8518806346374992,26.44144058227539,25.62361717224121,3.092960867579942
joint_2027_2031,168h_to_6h,2029,st_station_bias_delta_forecast,42.26696395874024,42.05421829223633,0.5033379419245474,26.426055908203125,26.460094451904297,-0.12880674974507147
joint_2027_2031,168h_to_6h,2030,st_station_bias_delta_forecast,42.97491455078125,42.84648895263672,0.29883851890566837,27.22520065307617,26.621368408203125,2.2179166007535613
joint_2027_2031,168h_to_6h,2031,st_station_bias_delta_forecast,43.9041748046875,43.06039810180664,1.9218598382374612,27.23032760620117,26.431476593017575,2.9336812422398886
frozen_2032_2036,24h_to_1h,2032,st_station_bias_delta_forecast,21.51876449584961,20.85360145568848,3.091083785453488,10.101215362548828,9.92347240447998,1.7596195278426177
frozen_2032_2036,24h_to_1h,2033,st_station_bias_delta_forecast,21.37567138671875,20.69710731506348,3.174469046510881,10.190746307373049,10.072290420532228,1.1623867699965897
frozen_2032_2036,24h_to_1h,2034,st_station_bias_delta_forecast,21.36579704284668,20.801082611083984,2.6430768327070817,10.187376976013184,10.04374885559082,1.4098636063095014
frozen_2032_2036,24h_to_1h,2035,st_station_bias_delta_forecast,21.53972244262696,20.937641143798828,2.7952138214957563,10.035890579223633,9.996569633483888,0.39180325282887
frozen_2032_2036,24h_to_1h,2036,st_station_bias_delta_forecast,21.48734474182129,20.8209171295166,3.1014889010814115,10.00788688659668,9.862669944763184,1.4510250113636038
frozen_2032_2036,168h_to_6h,2032,st_station_bias_delta_forecast,43.08036804199219,42.960845947265625,0.27743981808618595,26.39899253845215,26.44462776184082,-0.17286729151576782
frozen_2032_2036,168h_to_6h,2033,st_station_bias_delta_forecast,41.509559631347656,41.36772155761719,0.3416997794969472,25.435068130493164,25.31333351135254,0.478609369222337
