epoch,train_loss,valid_loss
1,0.4704033017784176,0.9447545409202576
2,0.4632940497557922,0.9430588483810425
3,0.45418033196395474,0.9409997463226318
4,0.45080230918227016,0.9369099140167236
5,0.4462197585997082,0.9380657076835632
6,0.44683843535322704,0.9417067766189575
7,0.4430435419141298,0.941360354423523
8,0.44441548207362636,0.9358938932418823
9,0.44292041821148975,0.9389709234237671
10,0.44378912899559475,0.9396387934684753
11,0.44008571287833687,0.9365919232368469
12,0.4401755913986971,0.9349519610404968
13,0.4396967169826727,0.9380502104759216
14,0.44162225746240347,0.9366171956062317
15,0.4400577056900642,0.9321579337120056
16,0.43797379245772916,0.9305459856987
17,0.438665857955591,0.9343744516372681
18,0.4395374021501605,0.9310159087181091
19,0.4359979520709041,0.93017578125
20,0.44055208171295773,0.9324091672897339
21,0.4390691212890616,0.928852915763855
22,0.43927573675266224,0.9275630712509155
23,0.43600406670875386,0.9322227835655212
24,0.4379761502970354,0.9309468865394592
25,0.43666148282512984,0.9282923340797424
26,0.43606252604886236,0.9278272986412048
27,0.4367227476894885,0.9295541644096375
28,0.43637802494985856,0.9283602833747864
29,0.43529474450287825,0.9294226765632629
30,0.43609462556476103,0.925751268863678
31,0.43141461989714197,0.9276403188705444
32,0.433783556157025,0.9282653331756592
33,0.43528125708721416,0.9283658862113953
34,0.43469188639389134,0.9289281964302063
35,0.4333850530858937,0.9280294179916382
36,0.4312837211122195,0.9280617237091064
37,0.43560186219602526,0.9280397891998291
38,0.4339565442383475,0.9279259443283081
