epoch,train_loss,valid_loss,learning_rate
1,0.23353996647739644,0.1837013065814972,0.001
2,0.09348672309300983,0.12885528802871704,0.001
3,0.08134232184995127,0.12162811309099197,0.001
4,0.0735135510746612,0.11605555564165115,0.001
5,0.06904315965544076,0.11488693952560425,0.001
6,0.06725700380842606,0.11244972795248032,0.001
7,0.06570228802699685,0.11153285205364227,0.001
8,0.06268802029389099,0.11061431467533112,0.001
9,0.06086394565083994,0.11036329716444016,0.001
10,0.060252726235817615,0.10782133042812347,0.001
11,0.05934733880328918,0.10854431241750717,0.001
12,0.057630596300153,0.10718664526939392,0.001
13,0.05679818845231418,0.10832793265581131,0.001
14,0.05738775617612841,0.10426198691129684,0.001
15,0.05746913023128533,0.10507352650165558,0.001
16,0.05627917720770992,0.1068488210439682,0.001
17,0.05618282512183669,0.11249659210443497,0.001
18,0.05607784245154064,0.10502209514379501,0.0005
19,0.05499257333546219,0.10499763488769531,0.0005
20,0.0545374370879895,0.10562887787818909,0.0005
21,0.054102605673882774,0.10459359735250473,0.0005
22,0.054356143541347754,0.10489330440759659,0.00025
