variant,seed,best_epoch,beta,trainable_parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
st_rfft,2047,12,0.11757657676935196,5901,0.5781524777412415,0.760363385323913,0.47177308797836304,56.61870193481445,35.129486083984375,46.587772369384766
st_time,2047,23,0.13515600562095642,5901,0.5764692425727844,0.7592557161936843,0.4705185890197754,56.536216735839844,35.03607940673828,45.967281341552734
st_rfft,2048,29,0.14217479526996613,5901,0.4899898171424866,0.6999927264925591,0.435833215713501,52.12333679199219,32.453311920166016,43.979148864746094
st_time,2048,8,0.11362472176551819,5901,0.4907676577568054,0.7005481123783044,0.43729162216186523,52.16469192504883,32.56190872192383,44.514888763427734
st_rfft,2049,4,0.10618594288825989,5901,0.5363621115684509,0.7323674703101244,0.4575209319591522,54.53404998779297,34.0682373046875,46.09724426269531
st_time,2049,1,0.10128974914550781,5901,0.5360999703407288,0.7321884800655695,0.4578756093978882,54.52071762084961,34.09464645385742,46.25293731689453
st_rfft,2050,4,0.1073184683918953,5901,0.5238591432571411,0.7237811432036214,0.45287126302719116,53.89468765258789,33.72201156616211,45.571929931640625
st_time,2050,3,0.10427150875329971,5901,0.5227135419845581,0.7229893097304815,0.4530077278614044,53.835723876953125,33.732173919677734,45.54031753540039
st_rfft,2051,3,0.10512963682413101,5901,0.5177038908004761,0.7195164284437681,0.4475651681423187,53.577125549316406,33.326900482177734,47.37545394897461
st_time,2051,3,0.10484912991523743,5901,0.5151295065879822,0.7177252305638852,0.4472930133342743,53.44374465942383,33.306640625,46.86721420288086
