epoch,train_loss,valid_loss,learning_rate
1,0.44198849531818857,0.35516783595085144,0.001
2,0.21344457377424098,0.2429681271314621,0.001
3,0.15577240079426657,0.1845667064189911,0.001
4,0.1243250144946864,0.15744347870349884,0.001
5,0.10479338236333657,0.14198851585388184,0.001
6,0.09083542237503511,0.13865873217582703,0.001
7,0.08225181003997119,0.12379168719053268,0.001
8,0.07525650636776647,0.12025807052850723,0.001
9,0.07250248436823965,0.11888948082923889,0.001
10,0.07008828870225124,0.11805540323257446,0.001
11,0.06857672000954021,0.11686860769987106,0.001
12,0.06816032554737164,0.11741149425506592,0.001
13,0.06791864153297805,0.118861123919487,0.001
14,0.06691282194232191,0.11891834437847137,0.001
15,0.06779775472349331,0.13025425374507904,0.0005
16,0.06692677889978019,0.12239493429660797,0.0005
17,0.0662956595391562,0.11934108287096024,0.0005
18,0.06651592523484115,0.12222827970981598,0.0005
19,0.06652532187586292,0.12071773409843445,0.00025
