task,variant,seed,epoch,train_loss,validation_loss,learning_rate
168h_6h,B3,2062,1,0.2027597972051992,0.46754124760627747,0.001
168h_6h,B3,2062,2,0.2027538098741206,0.46752873063087463,0.001
168h_6h,B3,2062,3,0.2027452894656685,0.4675118625164032,0.001
168h_6h,B3,2062,4,0.2027366176225091,0.46748852729797363,0.001
168h_6h,B3,2062,5,0.20272377353673574,0.4674623906612396,0.001
168h_6h,B3,2062,6,0.2027103760749987,0.4674379229545593,0.001
168h_6h,B3,2062,7,0.20270022992210354,0.4674122631549835,0.001
168h_6h,B3,2062,8,0.20268858161013006,0.4673904478549957,0.001
168h_6h,B3,2062,9,0.20267647867395605,0.46736377477645874,0.001
168h_6h,B3,2062,10,0.20266620468215107,0.4673462510108948,0.001
168h_6h,B3,2062,11,0.20265692744524733,0.46731501817703247,0.001
168h_6h,B3,2062,12,0.20264518077910837,0.46729403734207153,0.001
168h_6h,B3,2062,13,0.2026418047696277,0.467265248298645,0.001
168h_6h,B3,2062,14,0.20262471556583495,0.4672347903251648,0.001
168h_6h,B3,2062,15,0.2026071892196369,0.46720218658447266,0.001
168h_6h,B3,2062,16,0.20259986636292157,0.4671666920185089,0.001
168h_6h,B3,2062,17,0.20257219697209208,0.46712726354599,0.001
168h_6h,B3,2062,18,0.20255188109050923,0.46707773208618164,0.001
168h_6h,B3,2062,19,0.2025335405417628,0.46703311800956726,0.001
168h_6h,B3,2062,20,0.20250242267114682,0.4669880270957947,0.001
168h_6h,B3,2062,21,0.2024742584987502,0.4669419825077057,0.001
168h_6h,B3,2062,22,0.2024542926881793,0.4668830633163452,0.001
168h_6h,B3,2062,23,0.202419240678451,0.4668320119380951,0.001
168h_6h,B3,2062,24,0.2024022303765443,0.4668140709400177,0.001
168h_6h,B3,2062,25,0.20238683129051105,0.46679458022117615,0.001
168h_6h,B3,2062,26,0.2023423757953599,0.46670565009117126,0.001
168h_6h,B3,2062,27,0.20232637400874398,0.466615229845047,0.001
168h_6h,B3,2062,28,0.20231689698275232,0.46658724546432495,0.001
168h_6h,B3,2062,29,0.2022889688783573,0.4665882885456085,0.001
168h_6h,B3,2062,30,0.20228536424770474,0.46650516986846924,0.001
