task,variant,seed,epoch,train_loss,validation_loss,learning_rate,patchtst_eval_during_locked_training,patchtst_persistent_state_sha256,patchtst_complete_state_sha256,patchtst_all_parameters_buffers_equal_to_initialization
168h_6h,F10,2061,1,0.22003187642269115,0.46646562218666077,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,2,0.21941379412075962,0.46621832251548767,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,3,0.21935323431880346,0.4659767746925354,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,4,0.21922923268678104,0.46567922830581665,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,5,0.21909847548992606,0.46529895067214966,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,6,0.21893673179473308,0.464905709028244,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,7,0.21864076086510187,0.46434706449508667,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,8,0.21823959333131648,0.46392643451690674,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,9,0.21789706486256497,0.4631633162498474,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,10,0.21735038737719403,0.46395182609558105,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,11,0.21679560251735286,0.4628952443599701,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,12,0.2159787477973244,0.4633808732032776,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,13,0.21511274159334715,0.46127843856811523,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,14,0.21505933423873702,0.45822954177856445,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,15,0.21468751473572054,0.4594283699989319,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,16,0.21424168351563178,0.46031299233436584,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,17,0.2136673551489791,0.4595368504524231,0.001,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,18,0.21356690784422097,0.4584399461746216,0.0005,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,19,0.21298692645112788,0.4584871232509613,0.0005,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
168h_6h,F10,2061,20,0.2128557076008453,0.4582749307155609,0.0005,True,bda2b3e79727547d3274c009a2d08bfd52a5266b6cfeaf7cde00631daf726a26,fc3154459a96939fff1e76363eaa2234b0bec428f833d2e8b47ad140d74a742f,True
