history,1,3,6,12,24
24,2.994533,3.555293,3.458653,3.533324,3.798234
48,3.215437,3.588485,3.265999,2.900239,3.432339
72,3.041420,2.981940,2.777005,2.949929,3.091545
168,2.995538,2.661179,2.443776,2.309692,1.873424
