variant,station_id,station_bias_mean,station_bias_std,gate_weight_mean,gate_weight_between_seed_std,gate_weight_within_sample_std_mean
st_station_bias_delta_forecast,1018,0.0958874523639679,0.06770664633624648,0.05574186767141024,0.00756564695798386,0.012831744893143574
st_station_bias_delta_forecast,1010,0.09718899661675096,0.10271289786215823,0.054329847296079,0.010408627592024372,0.011886290740221739
st_station_bias_delta_forecast,1008,0.09777964403231938,0.02435145777788119,0.05106141169865926,0.005030021811270541,0.014950835766891638
st_station_bias_delta_forecast,1005,0.04058029688894749,0.06141214136564836,0.05007775748769442,0.008234396355431748,0.010651417231808106
st_station_bias_delta_forecast,1016,0.025473396604259808,0.04750931995342702,0.048837137718995415,0.006361649219717883,0.018343064623574417
st_station_bias_delta_forecast,1011,-0.04556315143903097,0.08066369485809435,0.0460896889368693,0.008515041013113914,0.00938673255344232
st_station_bias_delta_forecast,1002,-0.03307189140468836,0.021028477727541683,0.045640043914318085,0.005327323046127335,0.01164321880787611
st_station_bias_delta_forecast,1014,-0.05511513104041418,0.0850351106834167,0.04556743303934733,0.008138272526693949,0.013196214257429043
st_station_bias_delta_forecast,1012,-0.09037447969118755,0.0358326069316979,0.043851520866155624,0.005084858658373396,0.019559134108324844
st_station_bias_delta_forecast,1004,-0.021072301392753918,0.07910325662272985,0.04384409015377363,0.009263909340712822,0.009940520549813906
st_station_bias_delta_forecast,1022,-0.11064481735229492,0.06458803912544094,0.043670862913131714,0.0066010552548525685,0.015635812034209568
st_station_bias_delta_forecast,1007,-0.07912233968575795,0.025322880646983945,0.04338862871130308,0.005428083631088545,0.01855927628154556
st_station_bias_delta_forecast,1003,-0.0207293638959527,0.05891541791517345,0.04251842573285103,0.006521168150499893,0.011762853090961775
st_station_bias_delta_forecast,1023,-0.04403583767513434,0.03495938118928025,0.0413727102180322,0.00578030509262623,0.012755485096325478
st_station_bias_delta_forecast,1006,-0.1154612551132838,0.05564167195839012,0.040607464810212456,0.006337675532444403,0.009179585458089909
st_station_bias_delta_forecast,1009,-0.07798103988170624,0.05393460471542376,0.04038167869051298,0.006027099533903499,0.010494922442982594
st_station_bias_delta_forecast,1020,-0.0739164041976134,0.0363425131649068,0.04035648827751478,0.008004428442321321,0.0094181044648091
st_station_bias_delta_forecast,1015,-0.16143992791573206,0.0688350409898856,0.03833142543832461,0.006915245039495667,0.008457557298243046
