variant,horizon_step,rmse_ugm3_mean,rmse_ugm3_std,mae_ugm3_mean,mae_ugm3_std
degraded_patchtst,1,23.02100372314453,1.1815916814857321,13.04707940419515,1.0643326061201661
degraded_patchtst,2,33.227334340413414,1.0342175730177787,19.736385345458984,1.049154868610712
degraded_patchtst,3,40.550272623697914,0.966393826186717,25.27890459696452,1.048578889363022
degraded_patchtst,4,46.04151407877604,0.7155844368860514,29.850375493367512,0.7416250152046432
degraded_patchtst,5,50.38689168294271,0.8311049289000838,33.38231913248698,0.5320080208704646
degraded_patchtst,6,54.45640436808268,1.0365714873929346,36.91014607747396,0.7908580381173
st_station_bias_delta_forecast,1,22.300182978312176,0.8258479525199868,12.578228314717611,0.8405575415168238
st_station_bias_delta_forecast,2,32.64442125956217,0.8119440683167228,19.382256189982098,0.8541481267488243
st_station_bias_delta_forecast,3,40.02496592203776,0.7025531200884517,25.038657506306965,0.8024660265688018
st_station_bias_delta_forecast,4,45.74343617757162,0.7796769003775056,29.728126525878906,0.7287597044503643
st_station_bias_delta_forecast,5,49.92794672648112,0.9582716515008696,33.37427266438802,0.8283842638377935
st_station_bias_delta_forecast,6,54.048577626546226,1.4516302650967112,36.92068862915039,1.1882009979446422
