variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,learning_rate_retry,note,infeasible_reason,device_name,batch_size,history,horizon,result_dir,smoke,city,station_id,independent_recomputed
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,3.110683479999807,0.0122356029996808,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,1.9626537561416626,1.400947449457567,0.9421865344047546,104.2042007446289,70.08100128173828,88.84878540039062,,,,,,,,168,24,experiments/results/baselines/beijing/168h_24h,False,beijing,,True
trad_persistence,trad_persistence,deterministic,completed,0,,6.760004907846451e-06,0.0363755889993626,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.19312286376953125,0.4394574652563445,0.22297640144824982,32.66515350341797,16.573976516723633,23.28849220275879,,,,,,,,168,3,experiments/results/baselines/beijing/168h_3h,False,beijing,,True
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,4.089000867679715e-06,0.0025213320041075,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.4991904497146606,1.224414329267124,0.8783373832702637,91.01148986816406,65.2873764038086,77.22041320800781,,,,,,,,168,3,experiments/results/baselines/beijing/168h_3h,False,beijing,,True
trad_climatology,trad_climatology,deterministic,completed,0,,0.0710669830004917,0.0028222170076332,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.99405837059021,0.9970247592663936,0.7562122344970703,74.10948181152344,56.20973205566406,71.44148254394531,,,,,,,,168,3,experiments/results/baselines/beijing/168h_3h,False,beijing,,True
trad_ar,trad_ar,deterministic,completed,0,,0.0966620490071363,0.0034243379923282,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.18963994085788727,0.4354766823354464,0.2252916693687439,32.369258880615234,16.746070861816406,25.822227478027344,,,,,,,,168,3,experiments/results/baselines/beijing/168h_3h,False,beijing,,True
trad_ridge,trad_ridge,deterministic,completed,0,,0.0870521370088681,0.004198955008178,test,0,0,A,not_applicable,not_applicable,1,10.0,predictions/trad_ridge.npz,0.18941737711429596,0.43522106694678275,0.23158343136310577,32.350257873535156,17.213741302490234,28.125099182128906,,,,,,,,168,3,experiments/results/baselines/beijing/168h_3h,False,beijing,,True
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,3.319068899989361,0.0086565740057267,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.26943671703338623,0.5190729399933945,0.3497433066368103,38.58302307128906,25.99664306640625,49.4904899597168,,,,,,,,168,3,experiments/results/baselines/beijing/168h_3h,False,beijing,,True
trad_persistence,trad_persistence,deterministic,completed,0,,5.878999218111858e-06,0.003951901999244,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.3288435935974121,0.5734488587462809,0.3138252794742584,42.62481689453125,23.326833724975586,31.796127319335938,,,,,,,,168,6,experiments/results/baselines/beijing/168h_6h,False,beijing,,True
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,3.5489974834490567e-06,0.0020903170006931,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.4997470378875732,1.2246415956873151,0.8784062266349792,91.02838897705078,65.29248809814453,77.24920654296875,,,,,,,,168,6,experiments/results/baselines/beijing/168h_6h,False,beijing,,True
trad_climatology,trad_climatology,deterministic,completed,0,,0.0117511550015478,0.0030193349994078,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9946455955505371,0.9973192044428589,0.7564966678619385,74.13136291503906,56.23088073730469,71.48198699951172,,,,,,,,168,6,experiments/results/baselines/beijing/168h_6h,False,beijing,,True
trad_ar,trad_ar,deterministic,completed,0,,0.0230241650024254,0.0038366420012607,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.3071689307689667,0.5542282298556857,0.31937339901924133,41.196136474609375,23.739229202270508,35.08377456665039,,,,,,,,168,6,experiments/results/baselines/beijing/168h_6h,False,beijing,,True
