station_id,lag_hours,baseline_rmse_ugm3_mean,augmented_rmse_ugm3_mean,rmse_improvement_percent_mean,positive_fold_count
1002,0,16.911835831676576,16.566503445107436,1.9761312042299632,5
1002,1,16.911835831676576,16.789930846543065,0.6631232306565664,4
1002,2,16.911835831676576,16.854222878442858,0.2854664391316434,3
1002,3,16.911835831676576,16.84473587045457,0.3525110187770762,4
1002,6,16.911835831676576,16.860012708207783,0.2765977495867006,4
1002,12,16.911835831676576,16.914494184119764,-0.01588126784692077,2
1003,0,16.911835831676576,16.50886917817632,2.3167593772344426,5
1003,1,16.911835831676576,16.758712133991366,0.884676638420839,5
1003,2,16.911835831676576,16.837146309073127,0.4440499586480116,2
1003,3,16.911835831676576,16.889804030523152,0.1265804132549178,4
1003,6,16.911835831676576,16.917518376329678,-0.03939217375147229,4
1003,12,16.911835831676576,16.93198689707138,-0.11590460887596916,1
1004,0,16.911835831676576,16.696812584569898,1.160209862339055,5
1004,1,16.911835831676576,16.817123587119617,0.48901260383333495,3
1004,2,16.911835831676576,16.860428004394656,0.2670904599511511,4
1004,3,16.911835831676576,16.89948081847419,0.05384453343369115,2
1004,6,16.911835831676576,16.92349983939962,-0.0673715512829293,1
1004,12,16.911835831676576,16.908185033540367,0.013735597593185508,2
1005,0,16.911835831676576,16.811667106677948,0.5717567608547544,4
1005,1,16.911835831676576,16.881046619807556,0.19149905440613182,3
1005,2,16.911835831676576,16.912776215003163,-0.0017058436191130593,2
1005,3,16.911835831676576,16.934116313275577,-0.1373927129052642,1
1005,6,16.911835831676576,16.927745717461328,-0.09891423957499536,1
1005,12,16.911835831676576,16.908128998187163,0.01635448830120395,3
1006,0,16.911835831676576,16.697940067586366,1.2405244316984612,4
1006,1,16.911835831676576,16.90871781817781,-0.008890126204146743,2
1006,2,16.911835831676576,16.928908281310832,-0.11473078406959156,2
1006,3,16.911835831676576,16.927712279046954,-0.10067455311680718,2
1006,6,16.911835831676576,16.91236268472489,-0.025125639188320826,2
1006,12,16.911835831676576,16.922726673400124,-0.06726137201125212,3
1007,0,16.911835831676576,16.792461388644124,1.1287992287325959,3
1007,1,16.911835831676576,16.91290241578152,-0.010373399083673124,3
1007,2,16.911835831676576,17.001395155576795,-0.508487886082427,3
1007,3,16.911835831676576,16.971536480666458,-0.3461427780888027,3
1007,6,16.911835831676576,16.915647162125246,-0.02897421905144169,3
1007,12,16.911835831676576,16.915593852646214,-0.019283932613399887,1
1008,0,16.911835831676576,16.89942836016369,0.05042770118369609,3
1008,1,16.911835831676576,16.92784741273025,-0.08940306427707197,2
1008,2,16.911835831676576,16.924767488456844,-0.07197995449608524,3
1008,3,16.911835831676576,16.923905073127713,-0.0658329713751702,3
1008,6,16.911835831676576,16.917617392175508,-0.030279645966382347,3
1008,12,16.911835831676576,16.909390065836206,0.012357447971826117,4
1009,0,16.911835831676576,16.830453732232666,0.47656231847210523,4
1009,1,16.911835831676576,16.90304617962864,0.04607492617369733,5
1009,2,16.911835831676576,16.91565561983226,-0.02528376752148643,1
1009,3,16.911835831676576,16.918203851395116,-0.0439860566628421,2
1009,6,16.911835831676576,16.91710777087723,-0.03397812148621432,2
1009,12,16.911835831676576,16.897007376227293,0.08023108668280124,5
1010,0,16.911835831676576,16.828535464459456,0.4231910442467207,4
1010,1,16.911835831676576,16.944920147253626,-0.19789027930269726,3
1010,2,16.911835831676576,16.987202456031604,-0.43238869911840955,1
1010,3,16.911835831676576,16.9799998193536,-0.3917880355016061,1
1010,6,16.911835831676576,17.005524979197947,-0.5335227382297538,2
1010,12,16.911835831676576,16.91958920572216,-0.04798508660945466,3
1011,0,16.911835831676576,16.83163539684488,0.3875066303525806,3
1011,1,16.911835831676576,16.943196982713772,-0.20539991749840536,2
1011,2,16.911835831676576,16.962323404819834,-0.31413847887061835,1
1011,3,16.911835831676576,16.9735394316747,-0.383077615575408,1
1011,6,16.911835831676576,16.94623045916853,-0.19215495152412498,1
1011,12,16.911835831676576,16.8988902174302,0.0742165359064458,4
1012,0,16.911835831676576,16.783403040289905,0.7389116266336485,5
1012,1,16.911835831676576,16.920876936928916,-0.0505052036180695,1
1012,2,16.911835831676576,16.9357613257514,-0.1402257468213375,1
1012,3,16.911835831676576,16.93120748971931,-0.1179652455788841,3
1012,6,16.911835831676576,16.92593741212115,-0.07825228290885483,2
1012,12,16.911835831676576,16.914776736017863,-0.01626848516754694,2
1014,0,16.911835831676576,16.832254921973306,0.45828220586984736,4
1014,1,16.911835831676576,16.952808632393932,-0.23742842006652518,1
1014,2,16.911835831676576,16.9642676804254,-0.3119462484831062,0
1014,3,16.911835831676576,16.95335895648318,-0.23659545186085934,1
1014,6,16.911835831676576,16.949006581595516,-0.20439425243054649,1
1014,12,16.911835831676576,16.919462898103014,-0.04801116306007501,1
1015,0,16.911835831676576,16.660082029096646,1.4459516693263148,5
1015,1,16.911835831676576,16.943032856341667,-0.20115246321102892,1
1015,2,16.911835831676576,16.958759100240506,-0.279018719809298,2
1015,3,16.911835831676576,16.98548362827544,-0.44377337567612474,1
1015,6,16.911835831676576,16.93314990649123,-0.11911679547622991,1
1015,12,16.911835831676576,16.939322908210137,-0.14086523648355392,1
1016,0,16.911835831676576,16.781944213139514,0.726289128933033,5
1016,1,16.911835831676576,16.902820695866197,0.040174772406930855,3
1016,2,16.911835831676576,16.935438416142762,-0.14179936067010912,1
1016,3,16.911835831676576,16.960672202155674,-0.30121741022887033,0
1016,6,16.911835831676576,16.94496175505922,-0.20502511695267817,2
1016,12,16.911835831676576,16.916829752848837,-0.034875788715814995,1
1018,0,16.911835831676576,16.870471059806086,0.25800860738273595,3
1018,1,16.911835831676576,16.96432849243797,-0.28469003734518555,1
1018,2,16.911835831676576,16.987815137237295,-0.4190291259001676,0
1018,3,16.911835831676576,16.99673295420786,-0.4794123636284075,0
1018,6,16.911835831676576,16.954636328045723,-0.24657830474149617,1
1018,12,16.911835831676576,16.93120792009889,-0.10271359927085147,4
1020,0,16.911835831676576,16.82620607413426,0.5326315349472786,4
1020,1,16.911835831676576,16.929191436128896,-0.11172363562022287,3
1020,2,16.911835831676576,16.939404224369074,-0.1572470597002137,2
1020,3,16.911835831676576,16.95137918522245,-0.23098545006435414,2
1020,6,16.911835831676576,16.94437829552998,-0.2146379140481583,1
1020,12,16.911835831676576,16.906949114673655,0.029756085982572282,4
1022,0,16.911835831676576,16.503967765834126,2.4654592157587776,4
1022,1,16.911835831676576,16.973232780967486,-0.36971638849598654,1
1022,2,16.911835831676576,16.943322629291355,-0.18711650885392367,1
1022,3,16.911835831676576,16.946465205928277,-0.20422204624657453,2
1022,6,16.911835831676576,16.959197608365237,-0.24841595042585413,1
1022,12,16.911835831676576,16.93894214174997,-0.15208896562572055,0
1023,0,16.911835831676576,16.64410754390007,1.506818501571521,4
1023,1,16.911835831676576,16.800946066522574,0.6348638455446528,4
1023,2,16.911835831676576,16.875666675707144,0.18746937296666843,4
1023,3,16.911835831676576,16.911079389036,-0.022296254760766365,3
1023,6,16.911835831676576,16.925686061435407,-0.08125738423694218,1
1023,12,16.911835831676576,16.893553577883978,0.10580931912087696,5
