lag_hours,raw_pearson_r_mean,raw_pearson_r_std,difference_pearson_r_mean,difference_pearson_r_std
0,0.901964535618172,0.038369788013086596,0.4159597081011693,0.14150510752944884
1,0.8829426941557373,0.038192621154953935,0.22997197140725648,0.0636495917620381
2,0.8517466516887331,0.035988293561469424,0.09449391199902395,0.019120218008337814
3,0.8155281272854755,0.033984044285063665,0.02243279332080265,0.027827684419783186
6,0.7053268307266446,0.031244889590136132,-0.020211824048769058,0.014367139996292343
12,0.5226203675265707,0.028479762521286783,-0.0352737144011854,0.01796546156329531
