station_id,lag_hours,fold,train_samples,valid_samples,baseline_rmse_ugm3,augmented_rmse_ugm3,rmse_improvement_percent
1002,0,1,3115,600,12.025651708767555,11.988837417733322,0.3061313592459409
1002,0,2,3715,600,17.852062263486463,17.541657066382392,1.7387638051148593
1002,0,3,4315,600,16.122712911692496,15.85347417470173,1.6699344487831693
1002,0,4,4915,600,15.673044308639575,15.019214900749393,4.171680976680239
1002,0,5,5515,600,22.885707965796787,22.42933366597033,1.9941454313256075
1002,1,1,3115,600,12.025651708767555,12.031306365600841,-0.04702162485849816
1002,1,2,3715,600,17.852062263486463,17.80376683055902,0.2705313941584404
1002,1,3,4315,600,16.122712911692496,15.988752125201955,0.8308824155355979
1002,1,4,4915,600,15.673044308639575,15.4892664137502,1.172573057731169
1002,1,5,5515,600,22.885707965796787,22.636562497603308,1.088650910716123
1002,2,1,3115,600,12.025651708767555,12.055247423407149,-0.2461048711232575
1002,2,2,3715,600,17.852062263486463,17.867278414590476,-0.08523469658256583
1002,2,3,4315,600,16.122712911692496,16.044250742928405,0.4866561179489122
1002,2,4,4915,600,15.673044308639575,15.593305747883809,0.5087624279337437
1002,2,5,5515,600,22.885707965796787,22.71103206340445,0.7632532174813843
1002,3,1,3115,600,12.025651708767555,12.037309424538687,-0.09694040750101977
1002,3,2,3715,600,17.852062263486463,17.801626947145227,0.282518151666956
1002,3,3,4315,600,16.122712911692496,16.03490412645133,0.5446278534022938
1002,3,4,4915,600,15.673044308639575,15.613619404078628,0.3791535542854919
1002,3,5,5515,600,22.885707965796787,22.736219450058986,0.653195942031659
1002,6,1,3115,600,12.025651708767555,12.019467963080427,0.05142129372181721
1002,6,2,3715,600,17.852062263486463,17.786570797310727,0.36685658614180555
1002,6,3,4315,600,16.122712911692496,16.03014510323238,0.5741453623042897
1002,6,4,4915,600,15.673044308639575,15.684971666836065,-0.07610109409257886
1002,6,5,5515,600,22.885707965796787,22.778908010579332,0.4666665998581695
1002,12,1,3115,600,12.025651708767555,12.02888955440986,-0.02692449208340521
1002,12,2,3715,600,17.852062263486463,17.84859562654315,0.019418691757547204
1002,12,3,4315,600,16.122712911692496,16.119044690131798,0.022751887854045652
1002,12,4,4915,600,15.673044308639575,15.68276431544766,-0.062017350405412015
1002,12,5,5515,600,22.885707965796787,22.89317673406635,-0.03263507635737949
