arm,seed,artifact,best_epoch,best_valid_loss,trained_epochs,training_seconds,initialized_from_degraded,backbone_frozen,config_fingerprint
degraded_patchtst,7001,predictions/degraded_patchtst_seed7001.npz,5,0.2286449670791626,13,3.682177443002729,False,False,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
st_sparse_station_bias_delta_forecast,7001,predictions/st_sparse_station_bias_delta_forecast_seed7001.npz,31,0.21242991089820862,39,5.400839015001111,True,True,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
degraded_patchtst,7002,predictions/degraded_patchtst_seed7002.npz,12,0.21948683261871338,20,4.712908020999748,False,False,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
st_sparse_station_bias_delta_forecast,7002,predictions/st_sparse_station_bias_delta_forecast_seed7002.npz,18,0.20099402964115143,26,3.4865148390017566,True,True,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
degraded_patchtst,7003,predictions/degraded_patchtst_seed7003.npz,6,0.21988634765148163,14,3.0067770809982903,False,False,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
st_sparse_station_bias_delta_forecast,7003,predictions/st_sparse_station_bias_delta_forecast_seed7003.npz,21,0.2029161900281906,29,4.056830761001038,True,True,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
degraded_patchtst,7004,predictions/degraded_patchtst_seed7004.npz,23,0.22364749014377594,31,7.5223365490019205,False,False,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
st_sparse_station_bias_delta_forecast,7004,predictions/st_sparse_station_bias_delta_forecast_seed7004.npz,28,0.2015322893857956,36,4.982119523003348,True,True,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
degraded_patchtst,7005,predictions/degraded_patchtst_seed7005.npz,24,0.22595341503620148,32,7.139437519999774,False,False,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
st_sparse_station_bias_delta_forecast,7005,predictions/st_sparse_station_bias_delta_forecast_seed7005.npz,19,0.20471981167793274,27,3.6936122099978093,True,True,014183b9e481548c79caf924c0834a4e9c19631e63e6b63488c3b334ad34bef5
