task,history,horizon,epochs,patience,batch_size,sparse_neighbor_top_k,evaluation_split,freeze_backbone,initialize_from_degraded,adapter_trainable_parameters,mean_beta
24$\rightarrow$1,24,1,40,8,256,5,test,True,True,610,0.111451
168$\rightarrow$6,168,6,30,6,512,5,test,True,True,3015,0.110724
