task,seeds,degraded_rmse,degraded_rmse_std,locked_st_rmse,locked_st_rmse_std,st_plus_rfft_rmse,st_plus_rfft_rmse_std,improvement_over_st_percent,improvement_over_st_std,improved_seeds,improvement_over_degraded_percent
24$\rightarrow$1,5,21.288787,0.177760,20.624977,0.198458,20.595947,0.211871,0.141231,0.113972,5,3.254484
168$\rightarrow$6,5,42.266787,0.168760,41.919495,0.221971,41.763521,0.126796,0.370992,0.289824,5,1.190689
