task,seeds,degraded_rmse,locked_st_rmse,st_plus_rfft_rmse,st_reduction_vs_degraded_percent,st_reduction_vs_degraded_std,st_improved_seeds,st_plus_rfft_reduction_vs_degraded_percent,st_plus_rfft_reduction_vs_degraded_std,st_plus_rfft_improved_seeds,extra_from_frequency_percent
24$\rightarrow$1,5,21.288787,20.624977,20.595947,3.118755,0.240864,5,3.255553,0.277319,5,0.136798
168$\rightarrow$6,5,42.266787,41.919495,41.763521,0.821987,0.199145,5,1.190232,0.217236,5,0.368245
