variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,30,0.1558358520269394,30,5901,20.489709008434758,14.063401557770646,38.08042132099037,20316
st_time,7001,11,0.1180104985833168,17,5901,20.58891832477711,14.130796826432647,38.27658097143876,20316
st_rfft,7002,30,0.1525309979915619,30,5901,20.467052408879496,13.935386156749482,37.716024429321145,20316
st_time,7002,22,0.13466329872608185,28,5901,20.536387705692498,13.955631112554782,37.82482191446423,20316
st_rfft,7003,30,0.133737251162529,30,5901,20.358094931987047,13.804760075291444,37.28205590857356,20316
st_time,7003,5,0.10695483535528183,11,5901,20.414691835030084,13.877488744190815,37.56379643372655,20316
st_rfft,7004,1,0.10126481205224991,7,5901,20.64095483042963,13.987791361736486,37.82248874758061,20316
st_time,7004,1,0.1015072911977768,7,5901,20.596152922346906,13.985894519575329,37.85405221939867,20316
st_rfft,7005,1,0.10075733810663223,7,5901,20.696638788505002,14.091329679077923,38.17217796060324,20316
st_time,7005,1,0.10126537084579468,7,5901,20.655468793695192,14.088476634114764,38.17509848606683,20316
