arm,seed,artifact,best_epoch,best_valid_loss,trained_epochs,training_seconds,initialized_from_degraded,backbone_frozen,config_fingerprint
degraded_patchtst,7001,predictions/degraded_patchtst_seed7001.npz,10,0.39992576837539673,18,6.238321935998101,False,False,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
st_sparse_station_bias_delta_forecast,7001,predictions/st_sparse_station_bias_delta_forecast_seed7001.npz,35,0.3578360080718994,40,7.3643453949989635,True,True,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
degraded_patchtst,7002,predictions/degraded_patchtst_seed7002.npz,9,0.39972805976867676,17,5.892523266000353,False,False,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
st_sparse_station_bias_delta_forecast,7002,predictions/st_sparse_station_bias_delta_forecast_seed7002.npz,36,0.35658055543899536,40,7.2209626210024,True,True,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
degraded_patchtst,7003,predictions/degraded_patchtst_seed7003.npz,33,0.3998121917247772,40,13.914921568000864,False,False,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
st_sparse_station_bias_delta_forecast,7003,predictions/st_sparse_station_bias_delta_forecast_seed7003.npz,39,0.35167914628982544,40,7.150790368999878,True,True,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
degraded_patchtst,7004,predictions/degraded_patchtst_seed7004.npz,24,0.39526763558387756,32,10.191845629000454,False,False,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
st_sparse_station_bias_delta_forecast,7004,predictions/st_sparse_station_bias_delta_forecast_seed7004.npz,26,0.3522249460220337,34,6.098122280000098,True,True,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
degraded_patchtst,7005,predictions/degraded_patchtst_seed7005.npz,22,0.40325677394866943,30,9.542077614998561,False,False,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
st_sparse_station_bias_delta_forecast,7005,predictions/st_sparse_station_bias_delta_forecast_seed7005.npz,40,0.3593640625476837,40,7.123054145999049,True,True,6939ebe21b23e9a97918652494b636174deba602a879b40a0e5c37343b1deb3a
