task,pool_effect_percent,G1_threshold_percent,G1,pairs_improved,pairs_total,G2,stations_improved,G3,blocks_improved,G4,task_pass,sign_tail_nominal
24$\rightarrow$1,2.2072,1.0000,True,40,40,True,8,True,5,True,True,9.09e-13
168$\rightarrow$6,1.8224,0.5000,True,37,40,True,8,True,5,True,True,9.73e-09
