scope,task,fold,baseline,candidate,baseline_rmse_all,candidate_rmse_all,absolute_rmse_improvement,relative_rmse_improvement_percent,candidate_better
selection_interval_L0_not_test_not_neural,168h_6h,1,R_self,R_lag,28.800673026809108,27.874313513032853,0.926359513776255,3.216450924302891,True
selection_interval_L0_not_test_not_neural,168h_6h,1,R_recent,R_lag,28.3957855119787,27.874313513032853,0.5214719989458487,1.8364415336419093,True
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,R_lag,41.8170726044198,42.97238780462576,-1.155315200205962,-2.762783543302963,False
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,R_lag,43.733894203706186,42.97238780462576,0.7615063990804245,1.7412270572875064,True
selection_interval_L0_not_test_not_neural,168h_6h,3,R_self,R_lag,39.52410024050505,37.87872742707446,1.6453728134305905,4.162960835081531,True
selection_interval_L0_not_test_not_neural,168h_6h,3,R_recent,R_lag,38.37515653256988,37.87872742707446,0.4964291054954231,1.293621056826419,True
selection_interval_L0_not_test_not_neural,168h_6h,4,R_self,R_lag,48.294655913561165,48.11070261893911,0.18395329462205723,0.3808978263584709,True
selection_interval_L0_not_test_not_neural,168h_6h,4,R_recent,R_lag,49.04104311913267,48.11070261893911,0.9303405001935587,1.8970650724812979,True
selection_interval_L0_not_test_not_neural,168h_6h,5,R_self,R_lag,52.026179713736624,49.0418166920056,2.9843630217310277,5.736271696580208,True
selection_interval_L0_not_test_not_neural,168h_6h,5,R_recent,R_lag,50.59240372993604,49.0418166920056,1.5505870379304412,3.0648613697177294,True
selection_interval_L0_not_test_not_neural,24h_1h,1,R_self,R_lag,13.656869756094833,13.254360454659865,0.4025093014349679,2.947302775991802,True
selection_interval_L0_not_test_not_neural,24h_1h,1,R_recent,R_lag,13.359798024089898,13.254360454659865,0.10543756943003224,0.7892152953204165,True
selection_interval_L0_not_test_not_neural,24h_1h,2,R_self,R_lag,16.56089275624323,16.543141793083322,0.01775096315990865,0.10718602807941485,True
selection_interval_L0_not_test_not_neural,24h_1h,2,R_recent,R_lag,16.615629262033497,16.543141793083322,0.07248746895017533,0.4362607506885597,True
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,R_lag,15.960530836699332,15.609384067158228,0.3511467695411046,2.2000945528308153,True
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,R_lag,15.485144779279413,15.609384067158228,-0.12423928787881522,-0.802312730359868,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,R_lag,20.97357890101833,20.59615068415214,0.3774282168661891,1.7995413117017613,True
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,R_lag,20.592684099560415,20.59615068415214,-0.003466584591723887,-0.016834059003497687,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,R_lag,23.743636895253857,23.00626626164706,0.7373706336067976,3.1055504970015417,True
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,R_lag,23.255817835499666,23.00626626164706,0.24955157385260662,1.0730715884421393,True
