scope,task,fold,model,alpha,inner_fit_samples,inner_validation_samples,rmse_all,mae_all,smape_all_percent,selected
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,1.0,2968,524,11.512984790607119,7.654000651949622,19.630359295074186,False
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,10.0,2968,524,11.508200042176027,7.651498184373454,19.59431907938418,True
selection_interval_L0_not_test_not_neural,24h_1h,2,R_lag,100.0,2968,524,11.518973499022165,7.6930458072568975,19.582789581947686,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,0.0001,3710,655,17.461397482079605,10.175813904070854,19.644097212611886,True
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,0.001,3710,655,17.461399917253445,10.175817141484623,19.644104168823425,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,0.01,3710,655,17.461424269235867,10.175849515464975,19.64417372989056,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,0.1,3710,655,17.46166781345358,10.176173239536121,19.644869235809566,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,1.0,3710,655,17.464105687942173,10.179408910000074,19.651813896694392,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,10.0,3710,655,17.48872089823614,10.211621400417231,19.720361900982812,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_self,100.0,3710,655,17.753700956249332,10.549781681471552,20.43219378755488,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,0.0001,3710,655,17.6432804520167,10.463888970943048,20.11679841760913,True
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,0.001,3710,655,17.643282177161623,10.463891521520404,20.1168179283011,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,0.01,3710,655,17.643299429026253,10.463917027247495,20.117013032872528,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,0.1,3710,655,17.64347198921323,10.464172079881754,20.118963843991587,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,1.0,3710,655,17.645201732202036,10.466722142480146,20.138448788123874,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,10.0,3710,655,17.66290076160338,10.492252268799117,20.331558514891896,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_recent,100.0,3710,655,17.870735851531506,10.767499618582898,22.269370349617617,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,0.0001,3710,655,17.566506737552114,10.482124239533885,21.20009322003919,True
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,0.001,3710,655,17.56650990781286,10.482127475908925,21.20008718494153,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,0.01,3710,655,17.566541609817385,10.482159838692963,21.200026850371383,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,0.1,3710,655,17.56685856969365,10.482483370082484,21.199425141285108,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,1.0,3710,655,17.570022277007336,10.485709223480061,21.193567805289685,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,10.0,3710,655,17.60117831288775,10.519076975314515,21.208653689028758,False
selection_interval_L0_not_test_not_neural,24h_1h,3,R_lag,100.0,3710,655,17.904152502058963,10.870098622916792,22.109325642346775,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,0.0001,4452,786,16.12307743645011,8.872412868933827,27.286480945875564,True
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,0.001,4452,786,16.123078730650846,8.872414417853419,27.28648663358128,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,0.01,4452,786,16.123091672998896,8.872429906996585,27.286543525820782,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,0.1,4452,786,16.123221130531615,8.872584793141652,27.287113963249336,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,1.0,4452,786,16.12451909473767,8.8741331264827,27.29296680400352,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,10.0,4452,786,16.137822023475156,8.889973961162287,27.36792652250688,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_self,100.0,4452,786,16.29271283786199,9.100491859298092,28.551136008156902,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,0.0001,4452,786,15.633513208495488,8.646110085316188,28.81293227755874,True
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,0.001,4452,786,15.633514036114738,8.64611006190164,28.81294794101282,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,0.01,4452,786,15.633522312865216,8.646109827820375,28.813104589359934,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,0.1,4452,786,15.633605136142162,8.64610749342784,28.814672451613955,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,1.0,4452,786,15.634438918881498,8.646084789520247,28.830487233763492,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,10.0,4452,786,15.643305591093366,8.6463245605819,29.00264431515164,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_recent,100.0,4452,786,15.766507153224754,8.728621100761318,31.876811978991455,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,0.0001,4452,786,15.758662259922138,9.09577358224266,37.38393788682351,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,0.001,4452,786,15.758661730730699,9.09577188556651,37.38393519294126,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,0.01,4452,786,15.758656442170956,9.095754921575164,37.38390830748427,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,0.1,4452,786,15.758603891103915,9.09558555799845,37.383644770153985,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,1.0,4452,786,15.758110928626321,9.093952003939691,37.38161987345385,False
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,10.0,4452,786,15.755740706455821,9.080653773182137,37.39400308350371,True
selection_interval_L0_not_test_not_neural,24h_1h,4,R_lag,100.0,4452,786,15.813920097110245,9.054414503405086,38.104076378094035,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,0.0001,5194,917,20.57999781982477,10.800260059264009,29.22865568530217,True
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,0.001,5194,917,20.579997899766077,10.800260863556886,29.228664441224367,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,0.01,5194,917,20.579998699590565,10.800268906539232,29.228752000687475,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,0.1,5194,917,20.580006738961515,10.800349341716904,29.229627619176107,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,1.0,5194,917,20.5800912267854,10.801154227015829,29.238385971250768,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,10.0,5194,917,20.581327781088454,10.810885035440382,29.36500530493507,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_self,100.0,5194,917,20.620539886266414,10.955717739236212,30.79477562806494,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,0.0001,5194,917,20.231928722894214,10.543950310420206,28.62629857864781,True
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,0.001,5194,917,20.23192953557797,10.543949804582299,28.626282918873542,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,0.01,5194,917,20.231937662899632,10.543944746344968,28.62612633777795,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,0.1,5194,917,20.23201898450303,10.543894178145697,28.624562188803203,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,1.0,5194,917,20.23283701676804,10.543390482731397,28.609090548598605,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,10.0,5194,917,20.24147736878441,10.540331545820903,28.472907681435462,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_recent,100.0,5194,917,20.35846562733875,10.620124546774989,29.55717639275418,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,0.0001,5194,917,20.250925430095887,10.831521391280754,35.39637975282023,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,0.001,5194,917,20.250925283513027,10.831519744845641,35.39636889293408,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,0.01,5194,917,20.2509238215351,10.83150328424134,35.396260344955685,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,0.1,5194,917,20.250909585400983,10.83133905176041,35.395179935631745,False
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,1.0,5194,917,20.25080422631253,10.829747305870498,35.382561873152035,True
selection_interval_L0_not_test_not_neural,24h_1h,5,R_lag,10.0,5194,917,20.25246388134983,10.81796555269911,35.265060218128895,False
