scope,task,fold,model,alpha,horizon_step,rmse,mae,smape_percent
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.01,5,35.4946185599142,25.84765151490051,43.880753547205195
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.01,6,38.1295071963666,28.222794247710706,46.995519393135154
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.1,1,12.097191139639765,8.107053036052628,18.22872798908571
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.1,2,20.51517866773685,14.122664792185288,27.505065309458786
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.1,3,26.961780783011967,18.86872964924743,34.79897839098084
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.1,4,31.846192389063013,22.7225318808313,39.50239209886879
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.1,5,35.49458017132897,25.847615509929927,43.88075738997033
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.1,6,38.129486706174035,28.22274781403036,46.995507527243156
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1.0,1,12.097469119626139,8.107146464560522,18.221478433949777
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1.0,2,20.515313537777836,14.122752109582688,27.50342021925054
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1.0,3,26.96153967280814,18.868710677840983,34.79831081598933
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1.0,4,31.845830414981034,22.72245014046045,39.50227272751394
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1.0,5,35.494197977238684,25.8472557930561,43.88079536757169
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,1.0,6,38.129282467041264,28.22228394959683,46.99538778166661
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,1,12.100933910482611,8.108636911284902,18.16032893420998
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,2,20.517021975734018,14.124226637867933,27.487833386220284
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,3,26.959449449360566,18.86894054182443,34.79197484289936
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,4,31.842453077790495,22.722500071517224,39.50193669086767
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,5,35.49053994119307,25.845373550238197,43.883329477178755
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,10.0,6,38.12730465936798,28.21769237662426,46.994085905442326
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,100.0,1,12.183496897382756,8.182320431625838,18.052976942237823
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,100.0,2,20.55949518751024,14.163483089750587,27.435992201975033
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,100.0,3,26.96153709333298,18.895318233921582,34.76584981884119
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,100.0,4,31.826576491330815,22.7386960885143,39.52010072002541
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,100.0,5,35.46646638070761,25.83880508051282,43.91445026515963
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,100.0,6,38.1126999347062,28.182020689933715,46.96278343332544
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.0001,1,12.046979603464505,8.071569803507355,18.576099245922855
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.0001,2,20.327164622794726,13.921892083597571,27.3074489876267
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.0001,3,26.63237603951537,18.34597957328309,33.96953500239355
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.0001,4,31.349060810138777,22.06891727203333,38.68293584655292
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.0001,5,34.75441180223538,24.806721173655095,41.74316159826674
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.0001,6,37.21744850314232,27.092690017593263,45.04296455910567
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.001,1,12.046979844759791,8.071569513879238,18.576095149200935
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.001,2,20.327164232634754,13.921890373159167,27.30744007361798
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.001,3,26.632375208026623,18.34597803139071,33.96952972184961
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.001,4,31.349060127904444,22.068915750665784,38.68293267723895
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.001,5,34.754411406064904,24.806720295007015,41.74316282783517
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.001,6,37.217447894884536,27.09268911706166,45.042965282212975
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.01,1,12.046982258480323,8.071566618132128,18.57605418848594
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.01,2,20.327160332075792,13.921873271578118,27.3073509422144
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.01,3,26.632366894064084,18.34596261487025,33.96947692387977
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.01,4,31.34905330585561,22.068900538740206,38.682900988032664
selection_interval_L0_not_test_not_neural,168h_6h,2,R_lag,0.01,5,34.75440744424128,24.806711508853535,41.74317512235267
