variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,learning_rate_retry,note,infeasible_reason,device_name,batch_size,history,horizon
trad_persistence,trad_persistence,deterministic,completed,0,,5.878999218111858e-06,0.003951901999244,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.3288435935974121,0.5734488587462809,0.3138252794742584,42.62481689453125,23.326833724975582,31.796127319335938,,,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,3.5489974834490567e-06,0.0020903170006931,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.4997470378875732,1.2246415956873151,0.8784062266349792,91.02838897705078,65.29248809814453,77.24920654296875,,,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.0117511550015478,0.0030193349994078,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.9946455955505372,0.9973192044428588,0.7564966678619385,74.13136291503906,56.23088073730469,71.48198699951172,,,,,,,,,
trad_ar,trad_ar,deterministic,completed,0,,0.0230241650024254,0.0038366420012607,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.3071689307689667,0.5542282298556857,0.3193733990192413,41.196136474609375,23.739229202270508,35.08377456665039,,,,,,,,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.0608365049993153,0.004112481001357,test,0,0,A,not_applicable,not_applicable,1,10.0,predictions/trad_ridge.npz,0.306108146905899,0.5532704102931034,0.3225967586040497,41.12493896484375,23.978822708129883,36.89314270019531,,,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,2.8842618059970846,0.0101655930011475,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.5349671840667725,0.7314145090622501,0.5003364682197571,54.36650466918945,37.19032669067383,61.93570327758789,,,,,,,,,
center_mlp_default,center_mlp,2047,completed,6,0.555905282497406,1.231555844002287,0.0041859789998852,test,588506,588506,B,default,default,1,,predictions/center_mlp_default_seed2047.npz,0.3985496759414673,0.6313079089806077,0.4190189242362976,46.92551803588867,31.14594268798828,44.12904357910156,[9],"{""layers"": [500, 500, 500]}",,,,,,,
center_mlp_default,center_mlp,2048,completed,4,0.5427742600440979,0.5188153920025798,0.0038626220011792,test,588506,588506,B,default,default,1,,predictions/center_mlp_default_seed2048.npz,0.3926083445549011,0.6265846667090579,0.4058452844619751,46.57443618774414,30.16673851013184,43.053340911865234,[9],"{""layers"": [500, 500, 500]}",,,,,,,
center_mlp_default,center_mlp,2049,completed,4,0.563042402267456,0.5184221220006293,0.0041798439997364,test,588506,588506,B,default,default,1,,predictions/center_mlp_default_seed2049.npz,0.3958435356616974,0.6291609775420735,0.4142488837242126,46.76593399047852,30.7913818359375,43.8012924194336,[9],"{""layers"": [500, 500, 500]}",,,,,,,
center_mlp_default,center_mlp,2050,completed,7,0.5619842410087585,0.6882050709973555,0.004167741000856,test,588506,588506,B,default,default,1,,predictions/center_mlp_default_seed2050.npz,0.4274444878101349,0.6537923889203169,0.4369495213031769,48.5968017578125,32.478736877441406,45.65159606933594,[9],"{""layers"": [500, 500, 500]}",,,,,,,
center_mlp_default,center_mlp,2051,completed,4,0.5361536741256714,0.5259255500022846,0.0039134059989009,test,588506,588506,B,default,default,1,,predictions/center_mlp_default_seed2051.npz,0.3854791522026062,0.620869674088376,0.403814285993576,46.149635314941406,30.015769958496094,43.14962005615234,[9],"{""layers"": [500, 500, 500]}",,,,,,,
center_gru_default,center_gru,2047,completed,28,0.468434602022171,20.13038291399789,0.0568459120004263,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.2935615181922912,0.5418131764661056,0.3103527426719665,40.273319244384766,23.06871795654297,32.717124938964844,[9],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,2048,completed,29,0.4664943218231201,19.97601526300059,0.054736630001571,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2048.npz,0.2939004898071289,0.5421258984840411,0.3169084191322326,40.29656219482422,23.55600357055664,34.69087600708008,[9],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,2049,completed,29,0.4683749675750732,20.101860520000628,0.0545742780013824,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2049.npz,0.2919714748859405,0.5403438487536807,0.3155312836170196,40.164100646972656,23.45363998413086,34.191532135009766,[9],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,2050,completed,28,0.4695740342140198,19.755519562997502,0.0545077380011207,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2050.npz,0.291514128446579,0.5399204834478675,0.3138680756092071,40.13263320922852,23.330013275146484,33.69233703613281,[9],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,2051,completed,28,0.4700537025928497,19.874874424000154,0.0545234959972731,test,31506,31506,B,default,default,1,,predictions/center_gru_default_seed2051.npz,0.2912158370018005,0.5396441762882284,0.3113511502742767,40.11209487915039,23.142927169799805,32.74763107299805,[9],"{""hidden_size"": 100}",,,,,,,
center_lstm_default,center_lstm,2047,completed,14,0.5139235854148865,9.393950618999952,0.0434199949995672,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.327633798122406,0.5723930451380468,0.3468500673770904,42.54634094238281,25.78158569335937,36.22773361206055,[9],"{""hidden_size"": 100}",,,,,,,
center_lstm_default,center_lstm,2048,completed,30,0.4743438363075256,14.037449467999975,0.0405376070011698,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2048.npz,0.3048860430717468,0.5521648694654042,0.3290181457996368,41.04276657104492,24.456127166748047,34.61867141723633,[9],"{""hidden_size"": 100}",,,,,,,
center_lstm_default,center_lstm,2049,completed,28,0.4855871200561523,13.96933128299861,0.0405124649987556,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2049.npz,0.3162012100219726,0.5623177127051687,0.3444316983222961,41.79743576049805,25.6018295288086,36.7072639465332,[9],"{""hidden_size"": 100}",,,,,,,
center_lstm_default,center_lstm,2050,completed,14,0.4986703395843506,9.310277325999778,0.0401594450013362,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2050.npz,0.3289608657360077,0.5735511012420843,0.3441890776157379,42.63241958618164,25.58379364013672,35.37889862060547,[9],"{""hidden_size"": 100}",,,,,,,
center_lstm_default,center_lstm,2051,completed,24,0.4838849604129791,13.814939783002046,0.0402738980010326,test,41806,41806,B,default,default,1,,predictions/center_lstm_default_seed2051.npz,0.308280885219574,0.5552304793683196,0.331015408039093,41.2706298828125,24.60458755493164,34.491424560546875,[9],"{""hidden_size"": 100}",,,,,,,
center_tcn_default,center_tcn,2047,completed,30,0.7868420481681824,361.3205161869992,1.0082191530018465,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2047.npz,0.6154992580413818,0.7845376077928845,0.5722168684005737,58.31517791748047,42.53324508666992,63.13338470458984,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
center_tcn_default,center_tcn,2048,completed,19,0.8366820216178894,293.66865899500044,0.5761096180031018,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2048.npz,0.5818843841552734,0.7628134661601573,0.5294010639190674,56.70040893554688,39.35071563720703,57.72436141967773,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
center_tcn_default,center_tcn,2049,completed,29,0.8752384781837463,352.5616550079976,0.574862559002213,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2049.npz,0.5473135709762573,0.7398064415617489,0.5309039950370789,54.99027633666992,39.462432861328125,61.85832595825195,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
center_tcn_default,center_tcn,2050,completed,29,0.7879941463470459,352.6740075099988,0.574150145999738,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2050.npz,0.6618412733078003,0.8135362765776338,0.5840941667556763,60.47066879272461,43.41609191894531,61.7142333984375,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
center_tcn_default,center_tcn,2051,completed,30,0.8138480186462402,352.8296412689997,0.5793605489998299,test,66806,66806,B,default,default,1,,predictions/center_tcn_default_seed2051.npz,0.5781744122505188,0.760377808888791,0.550874650478363,56.51936340332031,40.94686126708984,60.41244125366211,[9],"{""ks"": 7, ""layers"": [25, 25, 25, 25, 25, 25, 25, 25]}",,,,,,,
center_resnet_default,center_resnet,2047,completed,24,0.468321681022644,60.53086705299938,1.0333681289994274,test,478982,478982,B,default,default,1,,predictions/center_resnet_default_seed2047.npz,0.3104749321937561,0.5572027747541788,0.3376815617084503,41.417240142822266,25.100086212158203,43.78495788574219,[9],"{""library_fixed"": true}",,,,,,,
center_resnet_default,center_resnet,2048,completed,4,0.5101704597473145,14.345311422999655,0.1136359909978637,test,478982,478982,B,default,default,1,,predictions/center_resnet_default_seed2048.npz,0.3256920874118805,0.5706943905558215,0.3461676239967346,42.42007064819336,25.730857849121094,40.977325439453125,[9],"{""library_fixed"": true}",,,,,,,
center_resnet_default,center_resnet,2049,completed,5,0.4875234365463257,15.7733169359999,0.1133318669999425,test,478982,478982,B,default,default,1,,predictions/center_resnet_default_seed2049.npz,0.3303329348564148,0.5747459741976578,0.3574878275394439,42.72123336791992,26.57229804992676,38.800907135009766,[9],"{""library_fixed"": true}",,,,,,,
center_resnet_default,center_resnet,2050,completed,8,0.5042015910148621,20.07457704199988,0.1135111629992025,test,478982,478982,B,default,default,1,,predictions/center_resnet_default_seed2050.npz,0.3808880448341369,0.6171612794352356,0.4039254486560821,45.87398910522461,30.02403450012207,42.39106369018555,[9],"{""library_fixed"": true}",,,,,,,
center_resnet_default,center_resnet,2051,completed,6,0.5239121317863464,17.216040076000354,0.1134413860017957,test,478982,478982,B,default,default,1,,predictions/center_resnet_default_seed2051.npz,0.3664835691452026,0.6053788641381549,0.4091026782989502,44.99819564819336,30.40886306762696,45.74440002441406,[9],"{""library_fixed"": true}",,,,,,,
