epoch,train_loss,valid_loss
1,0.5868738199808408,1.3425794839859009
2,0.5827481517952392,1.3348886966705322
3,0.5775700255506041,1.3236756324768066
4,0.5701147025299542,1.319702386856079
5,0.5677880711308638,1.3179998397827148
6,0.5644875062227053,1.327566385269165
7,0.5646838249392263,1.318276286125183
8,0.5572751794962385,1.312669038772583
9,0.5582269687092295,1.3133450746536255
10,0.5574421376357239,1.308724284172058
11,0.5556130215195034,1.308464765548706
12,0.5555576961943627,1.3082749843597412
13,0.5564116235041873,1.3136671781539917
14,0.552933854231995,1.3148549795150757
15,0.5537726317650976,1.303664207458496
16,0.5520733365781403,1.3118735551834106
17,0.5501895119248597,1.3084867000579834
18,0.5484143741618637,1.3000242710113525
19,0.5475834349578976,1.3018454313278198
20,0.546322839105335,1.302371621131897
21,0.5449884974770401,1.2993837594985962
22,0.5456284755649582,1.3038568496704102
23,0.5462477435219356,1.3029073476791382
24,0.5425358134650166,1.298621416091919
25,0.5424822001988122,1.298957109451294
26,0.5395151591389122,1.3008856773376465
27,0.5397787987157372,1.3016762733459473
28,0.5399541562565449,1.2977529764175415
29,0.5385979641140144,1.303071141242981
30,0.5391972721357667,1.3073489665985107
31,0.5386744287529243,1.305595874786377
32,0.5397074076810036,1.2988882064819336
33,0.5427176436343542,1.3023842573165894
34,0.5424428675296176,1.2932288646697998
35,0.5422946775948894,1.2956080436706543
36,0.5438751487822051,1.299721598625183
37,0.5405986666189615,1.30186128616333
38,0.5403649595396971,1.29320228099823
39,0.5411647709746192,1.3001384735107422
40,0.5420816174274404,1.296045184135437
