epoch,train_loss,valid_loss,learning_rate
1,0.29665138796276475,0.22211827337741852,0.001
2,0.11363923886664462,0.14217853546142578,0.001
3,0.09185564001003252,0.128397598862648,0.001
4,0.07927259516004452,0.11329548060894012,0.001
5,0.07361902668402025,0.11191227287054062,0.001
6,0.07088797156769822,0.1090075820684433,0.001
7,0.0655034752783479,0.10871093720197678,0.001
8,0.06372419289409968,0.10988322645425797,0.001
9,0.06341604819781743,0.10736843943595886,0.001
10,0.06239041978354739,0.10968615114688873,0.001
11,0.05996354084982798,0.10727842897176743,0.001
12,0.059795696364497906,0.10837715119123459,0.001
13,0.0595412687082468,0.10797454416751862,0.001
14,0.058165659597074995,0.10496052354574203,0.001
15,0.05820959809975652,0.10458996891975403,0.001
16,0.05693979973090738,0.10767783224582672,0.001
17,0.05663085082029575,0.1064869612455368,0.001
18,0.055672302564342586,0.10501089692115784,0.001
19,0.056874975172813466,0.10346454381942749,0.001
20,0.0555374068175294,0.10473482310771942,0.001
21,0.05615153943210572,0.10328042507171631,0.001
22,0.05603144994814281,0.10385151207447052,0.001
23,0.05556538861034741,0.10696855187416077,0.001
24,0.054729993447040014,0.10728372633457184,0.001
25,0.05463798676700448,0.10418351739645004,0.0005
26,0.05388712593927699,0.10230337828397751,0.0005
27,0.053533891553724774,0.10383425652980804,0.0005
28,0.05374936416062876,0.10393259674310684,0.0005
29,0.05355790353830194,0.1029214933514595,0.0005
30,0.0539927815304169,0.1026851162314415,0.00025
31,0.053568060970876616,0.10343372076749802,0.00025
32,0.05146170822889807,0.102757029235363,0.00025
33,0.05283905299028606,0.10316447913646698,0.00025
34,0.05364835343201045,0.1027180403470993,0.000125
