epoch,train_loss,valid_loss,learning_rate
1,0.9245627209522164,0.7144855260848999,0.001
2,0.7498713025630274,0.6965053081512451,0.001
3,0.721574210010908,0.6980745792388916,0.001
4,0.7107748660405582,0.692224383354187,0.001
5,0.7086513827164524,0.694948673248291,0.001
6,0.7009251594660886,0.6962543725967407,0.001
7,0.7060824647812475,0.7026410698890686,0.001
8,0.6956335754743684,0.6944023966789246,0.0005
9,0.6981701517296902,0.6939643025398254,0.0005
10,0.6940560472694607,0.692676305770874,0.0005
11,0.6961918017915504,0.6942865252494812,0.0005
12,0.6943416555924792,0.6933020353317261,0.00025
