variant,seed,best_epoch,beta,trainable_parameter_count,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent
st_rfft,2047,4,0.1053665429353714,3015,0.305395245552063,0.5526257735141051,0.32002532482147217,41.156742095947266,23.833850860595703,34.97602844238281
st_time,2047,8,0.11038575321435928,3015,0.3046686351299286,0.5519679656736689,0.31832095980644226,41.10775375366211,23.70691680908203,34.435523986816406
st_rfft,2048,2,0.10229393094778061,3015,0.3029015362262726,0.5503649118778128,0.31485775113105774,40.98836135864258,23.44899559020996,34.863033294677734
st_time,2048,1,0.10104469954967499,3015,0.30208513140678406,0.5496227173314291,0.31481364369392395,40.93309020996094,23.445709228515625,34.905704498291016
st_rfft,2049,5,0.10573303699493408,3015,0.3156481683254242,0.5618257455167253,0.3251659870147705,41.8419075012207,24.216697692871094,35.12376403808594
st_time,2049,18,0.11647021770477295,3015,0.31459537148475647,0.5608880204503894,0.3227490782737732,41.772071838378906,24.036701202392578,34.406246185302734
st_rfft,2050,29,0.13955871760845184,3015,0.30396807193756104,0.551332995509575,0.3203096389770508,41.06045913696289,23.855022430419922,35.019039154052734
st_time,2050,11,0.11680718511343002,3015,0.30426517128944397,0.551602367008558,0.32134875655174255,41.08052062988281,23.932415008544922,35.140201568603516
st_rfft,2051,3,0.10345064848661423,3015,0.3012416660785675,0.5488548679556077,0.31709161400794983,40.87590026855469,23.6153621673584,34.95505142211914
st_time,2051,1,0.1009019985795021,3015,0.30156418681144714,0.5491486017567987,0.3169967830181122,40.89777755737305,23.608299255371094,34.8544807434082
