variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,1,0.10180770605802536,7,11673,16.10998638025899,11.558732600505751,35.271066555671055,40920
st_time,7001,1,0.1017826721072197,7,11673,16.033259890625004,11.498864433842321,35.074757369396245,40920
st_rfft,7002,1,0.10184671729803085,7,11673,16.06595280087524,11.514894589650666,35.19762560407909,40920
st_time,7002,11,0.11902876198291779,17,11673,15.912855833205198,11.421610090669649,34.8258850849311,40920
st_rfft,7003,1,0.10184837132692337,7,11673,16.163488538312944,11.632056323011367,35.605090536276926,40920
st_time,7003,16,0.12384127825498581,22,11673,16.016531914138053,11.565922649445072,35.250304424282476,40920
st_rfft,7004,1,0.10181088745594025,7,11673,16.089710851237715,11.60732347771802,35.53261420029878,40920
st_time,7004,1,0.1017497181892395,7,11673,16.0201616415706,11.5653163553333,35.34158942469802,40920
st_rfft,7005,1,0.10176071524620056,7,11673,15.99858351400645,11.469048105167154,35.05118278025357,40920
st_time,7005,1,0.10179878771305084,7,11673,15.92490942653106,11.412314851029993,34.83484563344233,40920
