variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon,learning_rate_retry,note
trad_persistence,trad_persistence,deterministic,completed,0,,6.760004907846451e-06,0.0363755889993626,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.1931228637695312,0.4394574652563445,0.2229764014482498,32.66515350341797,16.573976516723633,23.28849220275879,,,,,,,,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,4.089000867679715e-06,0.0025213320041075,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.4991904497146606,1.224414329267124,0.8783373832702637,91.01148986816406,65.2873764038086,77.22041320800781,,,,,,,,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.0710669830004917,0.0028222170076332,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,0.99405837059021,0.9970247592663936,0.7562122344970703,74.10948181152344,56.20973205566406,71.44148254394531,,,,,,,,,
trad_ar,trad_ar,deterministic,completed,0,,0.0966620490071363,0.0034243379923282,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_ar.npz,0.1896399408578872,0.4354766823354464,0.2252916693687439,32.369258880615234,16.746070861816406,25.822227478027344,,,,,,,,,
trad_ridge,trad_ridge,deterministic,completed,0,,0.0870521370088681,0.004198955008178,test,0,0,A,not_applicable,not_applicable,1,10.0,predictions/trad_ridge.npz,0.1894173771142959,0.4352210669467827,0.2315834313631057,32.35025787353516,17.213741302490234,28.125099182128903,,,,,,,,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,3.319068899989361,0.0086565740057267,test,0,0,A,not_applicable,not_applicable,18,100.0,predictions/trad_spatial_linear.npz,0.2694367170333862,0.5190729399933945,0.3497433066368103,38.58302307128906,25.99664306640625,49.4904899597168,,,,,,,,,
center_gru_default,center_gru,2047,completed,30,0.2559309601783752,20.11968106499989,0.0553919010126264,test,31203,31203,B,default,default,1,,predictions/center_gru_default_seed2047.npz,0.1786138266324997,0.4226272904492795,0.2218013256788253,31.41415405273437,16.48663330078125,24.91415977478028,[9],"{""hidden_size"": 100}",,,,,,,
center_gru_default,center_gru,2048,nonfinite,0,,,,test,31203,31203,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: center_gru_default seed=2048 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,3.0,,
center_gru_default,center_gru,2049,nonfinite,0,,,,test,31203,31203,B,default,default,1,,,,,,,,,[9],"{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: center_gru_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,3.0,,
center_lstm_default,center_lstm,2047,completed,24,0.2679181396961212,14.340576684000553,0.0441524909983854,test,41503,41503,B,default,default,1,,predictions/center_lstm_default_seed2047.npz,0.1889385282993316,0.4346705974635639,0.235860675573349,32.30934143066406,17.531673431396484,25.72383499145508,[9],"{""hidden_size"": 100}",,,,,,,
