task,seed,variant,backward_stage,output_layer_gradient_norm_sum,upstream_gradient_norm_sum,beta_gradient_norm_sum,output_layer_nonzero,upstream_nonzero,beta_nonzero
24h_1h,2060,F01,first_backward_before_update,0.0007490836433134973,0.0,0.0,True,False,False
24h_1h,2060,F01,after_first_update_probe_no_optimizer_step,0.0007447031966876239,1.3164309088153914e-05,1.4576942248822888e-06,True,True,True
24h_1h,2060,F11,first_backward_before_update,0.0008322679495904595,0.0,0.0,True,False,False
24h_1h,2060,F11,after_first_update_probe_no_optimizer_step,0.0008275818545371294,1.0456578017681295e-05,1.475552267038438e-06,True,True,True
24h_1h,2060,B1,first_backward_before_update,0.0007926691905595362,0.0,0.0,True,False,False
24h_1h,2060,B1,after_first_update_probe_no_optimizer_step,0.0007880689518060535,9.607984331694297e-06,1.4501796385957277e-06,True,True,True
24h_1h,2060,B2,first_backward_before_update,0.0008048546442296356,0.0,0.0,True,False,False
24h_1h,2060,B2,after_first_update_probe_no_optimizer_step,0.0008001902606338263,1.0158603743093408e-05,1.433968009223463e-06,True,True,True
24h_1h,2060,B_flat,first_backward_before_update,0.0006075282581150532,0.0,0.0,True,False,False
24h_1h,2060,B_flat,after_first_update_probe_no_optimizer_step,0.0006058167637092993,8.42485368934831e-06,9.62634203460766e-07,True,True,True
24h_1h,2060,B3,first_backward_before_update,0.0006459648138843477,0.0,0.0,True,False,False
24h_1h,2060,B3,after_first_update_probe_no_optimizer_step,0.0006434048118535429,4.162653830519503e-06,1.0891141073443578e-06,True,True,True
24h_1h,2061,F01,first_backward_before_update,0.00028824334731325507,0.0,0.0,True,False,False
24h_1h,2061,F01,after_first_update_probe_no_optimizer_step,0.00028576979821082205,4.829910075443422e-06,6.322704848571448e-07,True,True,True
24h_1h,2061,F11,first_backward_before_update,0.0010479078337084502,0.0,0.0,True,False,False
24h_1h,2061,F11,after_first_update_probe_no_optimizer_step,0.0010433939460199326,1.1058589663548446e-05,1.7139470855909167e-06,True,True,True
24h_1h,2061,B1,first_backward_before_update,0.0010643751011230052,0.0,0.0,True,False,False
24h_1h,2061,B1,after_first_update_probe_no_optimizer_step,0.0010599365923553705,1.0556395515948225e-05,1.7684382100924267e-06,True,True,True
24h_1h,2061,B2,first_backward_before_update,0.0010545173427090049,0.0,0.0,True,False,False
24h_1h,2061,B2,after_first_update_probe_no_optimizer_step,0.001050016056979075,1.07068979176006e-05,1.726133859847323e-06,True,True,True
24h_1h,2061,B_flat,first_backward_before_update,0.0008478397649014369,0.0,0.0,True,False,False
24h_1h,2061,B_flat,after_first_update_probe_no_optimizer_step,0.0008456782670691609,4.376650025506024e-06,1.2847195876020123e-06,True,True,True
24h_1h,2061,B3,first_backward_before_update,0.0010587010765448213,0.0,0.0,True,False,False
24h_1h,2061,B3,after_first_update_probe_no_optimizer_step,0.001054202497471124,6.3677481207946585e-06,1.7682230009086197e-06,True,True,True
24h_1h,2062,F01,first_backward_before_update,0.0014339443878270686,0.0,0.0,True,False,False
24h_1h,2062,F01,after_first_update_probe_no_optimizer_step,0.0014321411726996303,2.2538008522587916e-05,2.6112738851225004e-06,True,True,True
24h_1h,2062,F11,first_backward_before_update,0.0010668448230717331,0.0,0.0,True,False,False
24h_1h,2062,F11,after_first_update_probe_no_optimizer_step,0.0010646373848430812,1.835188301413382e-05,1.807941657716583e-06,True,True,True
24h_1h,2062,B1,first_backward_before_update,0.0010240624542348087,0.0,0.0,True,False,False
24h_1h,2062,B1,after_first_update_probe_no_optimizer_step,0.0010219385148957372,1.2030978410848547e-05,1.6583825299676391e-06,True,True,True
24h_1h,2062,B2,first_backward_before_update,0.0010765195183921605,0.0,0.0,True,False,False
24h_1h,2062,B2,after_first_update_probe_no_optimizer_step,0.0010742853046394885,1.8685462009671028e-05,1.8376575781076099e-06,True,True,True
24h_1h,2062,B_flat,first_backward_before_update,0.0010855237196665257,0.0,0.0,True,False,False
24h_1h,2062,B_flat,after_first_update_probe_no_optimizer_step,0.001084107905626297,1.4779216826354968e-05,1.726721961858857e-06,True,True,True
24h_1h,2062,B3,first_backward_before_update,0.001068537007085979,0.0,0.0,True,False,False
24h_1h,2062,B3,after_first_update_probe_no_optimizer_step,0.001066493714461103,7.625982348713478e-06,1.7268196188524598e-06,True,True,True
