task,seed,variant,checkpoint_role,checkpoint_path,checkpoint_sha256,model_state_sha256,initialized_from_checkpoint,initialized_from_sha256,patchtst_frozen,source_f00_checkpoint_patchtst_sha256,patchtst_initial_state_sha256,patchtst_initial_complete_state_sha256,patchtst_checkpoint_state_sha256,patchtst_final_loaded_state_sha256,patchtst_final_loaded_complete_state_sha256,patchtst_state_unchanged_from_f00_initialization,shared_by_adapter_variants,base_state_sha256
24h_1h,2060,F00,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F00_seed2060.pt,750151c271705b182ac3dcb3bf6f512e8d6d51ab95678b56b917770f18c0c1e2,54d7e46398e60bd227dbb392d7cfd76a143b9f0d58b245b24a856c595896f574,,,False,,950ff590321b23a23363c5a64812c5c9059cb918c00244f9d7ccda61befa80ae,274c59c91cae5786a10c1b620ddd49adf66a8b17e1afa81e9ab6a0713d271f13,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,False,F01,
24h_1h,2060,F10,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F10_seed2060.pt,ffa8b5f08dd0e9734d771c477432fbba947997037ae9b67c1f969809b6dcea5f,27011f47793fb0e7bbc77b0f9b13f85eab402d8d62a610f9dc824d70bea1f1e2,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F00_seed2060.pt,750151c271705b182ac3dcb3bf6f512e8d6d51ab95678b56b917770f18c0c1e2,True,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,a0b7ea3cc104264645ffffffe46f67249f3b4e07662bc2b1e7949699dc697a2b,7bdd0b9d705dc546232ced795b17e8d6ead4196631c9ba1115ed42c368e2d43f,True,"F11,B1,B2,B_flat,B3",
24h_1h,2060,F01,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F01_seed2060.pt,16be2b0ce615ecce7dd85dfbcf2ebf3c407dabfc4e116f25e8592323a13150c7,695434ef43c2e203a8664eef17ffb89f1b17942888219bf13307fab8fc83c377,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F00_seed2060.pt,750151c271705b182ac3dcb3bf6f512e8d6d51ab95678b56b917770f18c0c1e2,True,,,,,,,,,54d7e46398e60bd227dbb392d7cfd76a143b9f0d58b245b24a856c595896f574
24h_1h,2060,F11,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F11_seed2060.pt,e0f32a727e2651631704cde5334307f8a39458cf6bf4405918f76a1a13544ea4,e5dc6a6e3b0acb039b66176e36a8994c596ecd2b282f2b1a73482bc59e0b529a,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F10_seed2060.pt,ffa8b5f08dd0e9734d771c477432fbba947997037ae9b67c1f969809b6dcea5f,True,,,,,,,,,27011f47793fb0e7bbc77b0f9b13f85eab402d8d62a610f9dc824d70bea1f1e2
24h_1h,2060,B1,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/B1_seed2060.pt,38d437e7045b309083dd1a9b6c08bc82f6542b8de1d394bb1df75409c6c2d016,dd4d59fa718604577bc0539840abd3152b0323ba883c0a45889c92fa4fd6fbd1,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F10_seed2060.pt,ffa8b5f08dd0e9734d771c477432fbba947997037ae9b67c1f969809b6dcea5f,True,,,,,,,,,27011f47793fb0e7bbc77b0f9b13f85eab402d8d62a610f9dc824d70bea1f1e2
24h_1h,2060,B2,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/B2_seed2060.pt,a46f48accb2a311066f803449a52163a4376c27945f824ef7936d645ece9d887,450d78b31a4194334f29a6b0406b04793c50b0f319a9b2ea732c278f905b7643,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F10_seed2060.pt,ffa8b5f08dd0e9734d771c477432fbba947997037ae9b67c1f969809b6dcea5f,True,,,,,,,,,27011f47793fb0e7bbc77b0f9b13f85eab402d8d62a610f9dc824d70bea1f1e2
24h_1h,2060,B_flat,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/B_flat_seed2060.pt,cf4ffad8eb6d7a0cec00f64041a418a387662de244172ba5076e2649742f0a4e,b7c58e45561e75c4735a654ef95c828ba19e8699a478379d2be4ebbc3d344eac,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F10_seed2060.pt,ffa8b5f08dd0e9734d771c477432fbba947997037ae9b67c1f969809b6dcea5f,True,,,,,,,,,27011f47793fb0e7bbc77b0f9b13f85eab402d8d62a610f9dc824d70bea1f1e2
24h_1h,2060,B3,best_validation_adapter,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/B3_seed2060.pt,a26a4e1e7c448942c6b1f43cbd1eac69c6c78a7db0ce6029e68daa082fd9951b,303ffea6eb2f19c6adb4029f3fcf74a03345f7c70eac017e218bce8f5710eb69,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F10_seed2060.pt,ffa8b5f08dd0e9734d771c477432fbba947997037ae9b67c1f969809b6dcea5f,True,,,,,,,,,27011f47793fb0e7bbc77b0f9b13f85eab402d8d62a610f9dc824d70bea1f1e2
24h_1h,2061,F00,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F00_seed2061.pt,61fd7d59930b62315eae3695a9157915a487d53f19748205e42daad8e0a8d038,4e18ab7e0a578b6bc993930d06af153ab76de0f4f78860b06d1680f777536603,,,False,,28ced39cdacb57e0c6eea1eb3cc6b58ba1ece85a2525db11ca51683a574934bc,a6033c1479534bbcc812ff60ac6ae8412d52d7d64aa1781e8a015aa7e805011b,942e99b783c0dea31bf87f1b5af4a909b8ecf687bc378566ee605ebcaad79041,942e99b783c0dea31bf87f1b5af4a909b8ecf687bc378566ee605ebcaad79041,c149599a4d6e74ffc8a4e7a90694545ad82f7162403d0ac8b629832a807cc935,False,F01,
24h_1h,2061,F10,best_validation_base,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F10_seed2061.pt,8d7d7b37bb7b2fc89b1e9a31f0ea6059a552f7ad2c5fb165196e296511048d6f,e13e9c0826599d83d289ca2761e700afc0c9f109faca66e0bf6b7335fd71545a,experiments/results/cross_variable_lag_adapter/l1_selection_24h_1h/checkpoints/F00_seed2061.pt,61fd7d59930b62315eae3695a9157915a487d53f19748205e42daad8e0a8d038,True,942e99b783c0dea31bf87f1b5af4a909b8ecf687bc378566ee605ebcaad79041,942e99b783c0dea31bf87f1b5af4a909b8ecf687bc378566ee605ebcaad79041,c149599a4d6e74ffc8a4e7a90694545ad82f7162403d0ac8b629832a807cc935,942e99b783c0dea31bf87f1b5af4a909b8ecf687bc378566ee605ebcaad79041,942e99b783c0dea31bf87f1b5af4a909b8ecf687bc378566ee605ebcaad79041,c149599a4d6e74ffc8a4e7a90694545ad82f7162403d0ac8b629832a807cc935,True,"F11,B1,B2,B_flat,B3",
