width,parameter_count,absolute_difference,relative_difference_percent
1,90,1442,94.12532637075718
2,180,1352,88.25065274151436
3,272,1260,82.24543080939948
4,366,1166,76.10966057441253
5,462,1070,69.84334203655352
6,560,972,63.44647519582245
7,660,872,56.91906005221932
8,762,770,50.26109660574413
9,866,666,43.472584856396864
10,972,560,36.55352480417755
11,1080,452,29.503916449086162
12,1190,342,22.323759791122715
13,1302,230,15.013054830287206
14,1416,116,7.5718015665796345
15,1532,0,0.0
16,1650,118,7.702349869451697
17,1770,238,15.535248041775457
18,1892,360,23.49869451697128
19,2016,484,31.592689295039165
20,2142,610,39.81723237597911
21,2270,738,48.17232375979112
22,2400,868,56.65796344647519
23,2532,1000,65.27415143603133
24,2666,1134,74.02088772845953
25,2802,1270,82.8981723237598
26,2940,1408,91.90600522193212
27,3080,1548,101.0443864229765
28,3222,1690,110.31331592689295
29,3366,1834,119.71279373368147
30,3512,1980,129.24281984334203
31,3660,2128,138.90339425587467
32,3810,2278,148.69451697127937
33,3962,2430,158.61618798955612
34,4116,2584,168.66840731070496
35,4272,2740,178.85117493472586
36,4430,2898,189.1644908616188
37,4590,3058,199.6083550913838
38,4752,3220,210.1827676240209
39,4916,3384,220.88772845953002
40,5082,3550,231.72323759791124
41,5250,3718,242.68929503916448
42,5420,3888,253.7859007832898
43,5592,4060,265.0130548302872
44,5766,4234,276.37075718015666
45,5942,4410,287.85900783289816
46,6120,4588,299.47780678851177
47,6300,4768,311.2271540469974
48,6482,4950,323.1070496083551
49,6666,5134,335.11749347258484
50,6852,5320,347.2584856396867
51,7040,5508,359.5300261096606
52,7230,5698,371.93211488250654
53,7422,5890,384.46475195822455
54,7616,6084,397.1279373368146
55,7812,6280,409.92167101827675
56,8010,6478,422.84595300261094
57,8210,6678,435.90078328981724
58,8412,6880,449.08616187989554
59,8616,7084,462.40208877284596
60,8822,7290,475.84856396866843
61,9030,7498,489.4255874673629
62,9240,7708,503.1331592689295
63,9452,7920,516.9712793733681
64,9666,8134,530.9399477806788
65,9882,8350,545.0391644908616
66,10100,8568,559.2689295039164
67,10320,8788,573.6292428198434
68,10542,9010,588.1201044386423
69,10766,9234,602.7415143603133
70,10992,9460,617.4934725848564
71,11220,9688,632.3759791122716
72,11450,9918,647.3890339425587
73,11682,10150,662.5326370757181
74,11916,10384,677.8067885117493
75,12152,10620,693.2114882506528
76,12390,10858,708.7467362924282
77,12630,11098,724.4125326370757
78,12872,11340,740.2088772845952
79,13116,11584,756.1357702349869
80,13362,11830,772.1932114882507
81,13610,12078,788.3812010443864
82,13860,12328,804.6997389033943
83,14112,12580,821.1488250652742
84,14366,12834,837.7284595300262
85,14622,13090,854.4386422976502
86,14880,13348,871.2793733681463
87,15140,13608,888.2506527415144
88,15402,13870,905.3524804177546
89,15666,14134,922.5848563968668
90,15932,14400,939.9477806788511
91,16200,14668,957.4412532637076
92,16470,14938,975.065274151436
93,16742,15210,992.8198433420365
94,17016,15484,1010.7049608355092
95,17292,15760,1028.7206266318537
96,17570,16038,1046.8668407310704
97,17850,16318,1065.1436031331593
98,18132,16600,1083.55091383812
99,18416,16884,1102.088772845953
100,18702,17170,1120.757180156658
101,18990,17458,1139.556135770235
102,19280,17748,1158.4856396866842
103,19572,18040,1177.5456919060052
104,19866,18334,1196.7362924281983
105,20162,18630,1216.0574412532637
106,20460,18928,1235.509138381201
107,20760,19228,1255.0913838120105
108,21062,19530,1274.8041775456918
109,21366,19834,1294.6475195822454
110,21672,20140,1314.621409921671
111,21980,20448,1334.7258485639686
