task,seed,variant,horizon_step,pollutant_mass_mean,pollutant_mass_std,meteorology_mass_mean,meteorology_mass_std,mass_sum_max_abs_error,beta
24h_1h,2060,F01,1,0.7742500305175781,0.17749255895614624,0.22575002908706665,0.17749255895614624,2.384185791015625e-07,0.037164315581321716
24h_1h,2060,F11,1,0.6520180702209473,0.23504522442817688,0.34798187017440796,0.23504520952701569,2.384185791015625e-07,0.026640474796295166
24h_1h,2060,B1,1,0.8891181945800781,0.159810870885849,0.11088179051876068,0.159810870885849,2.384185791015625e-07,0.02665642276406288
24h_1h,2060,B2,1,0.56969153881073,0.2629043459892273,0.43030843138694763,0.2629043459892273,2.384185791015625e-07,0.0362999252974987
24h_1h,2060,B3,1,0.5714285969734192,0.0,0.428571492433548,2.9802322387695312e-08,0.0,0.020288310945034027
24h_1h,2061,F01,1,0.5943599939346313,0.3240114748477936,0.40564000606536865,0.32401150465011597,2.384185791015625e-07,0.02952629327774048
24h_1h,2061,F11,1,0.6191640496253967,0.25545158982276917,0.38083595037460327,0.25545158982276917,2.384185791015625e-07,0.0396413579583168
24h_1h,2061,B1,1,0.8470301628112793,0.09657581895589828,0.15296988189220428,0.09657581895589828,2.384185791015625e-07,0.027569085359573364
24h_1h,2061,B2,1,0.9315812587738037,0.054620157927274704,0.06841877102851868,0.05462015047669411,2.384185791015625e-07,0.04511069878935814
24h_1h,2061,B3,1,0.5714285969734192,0.0,0.428571492433548,2.9802322387695312e-08,0.0,0.020271826535463333
24h_1h,2062,F01,1,0.5492013692855835,0.27502021193504333,0.4507986307144165,0.27502021193504333,2.384185791015625e-07,0.030116740614175797
24h_1h,2062,F11,1,0.6281927824020386,0.24946413934230804,0.3718072175979614,0.24946412444114685,2.384185791015625e-07,0.029631251469254494
24h_1h,2062,B1,1,0.44264867901802063,0.2897289991378784,0.557351291179657,0.2897289991378784,1.7881393432617188e-07,0.022981446236371994
24h_1h,2062,B2,1,0.6597349047660828,0.2672504782676697,0.34026506543159485,0.2672504484653473,2.384185791015625e-07,0.03519129008054733
24h_1h,2062,B3,1,0.5714285969734192,0.0,0.428571492433548,2.9802322387695312e-08,0.0,0.02152939885854721
