task,variant,adapter_class,trainable_parameter_count,m_target_parameter_count,flat_width,relative_to_m_percent,parameter_gate_pass
24h_1h,F01,CrossVariableLagAdapter,1532,1532,,0.0,True
24h_1h,F11,CrossVariableLagAdapter,1532,1532,,0.0,True
24h_1h,B1,CrossVariableLagAdapter,1532,1532,,0.0,True
24h_1h,B2,CrossVariableLagAdapter,1532,1532,,0.0,True
24h_1h,B_flat,FlatResidualAdapter,1532,1532,15,0.0,True
24h_1h,B3,CrossVariableLagAdapter,1532,1532,,0.0,True
