task,variant,seed,epoch,stage,patchtst_persistent_state_sha256,patchtst_complete_state_sha256,expected_persistent_state_sha256,expected_complete_state_sha256,persistent_tensor_count,complete_parameter_buffer_count,persistent_changed_tensor_count,complete_changed_tensor_count,persistent_changed_tensors_json,complete_changed_tensors_json,persistent_state_equal,all_parameters_and_buffers_equal,patchtst_eval,invariant_required,source_f00_checkpoint_patchtst_sha256,checkpoint_patchtst_sha256
24h_1h,F00,2060,,f00_before_training,950ff590321b23a23363c5a64812c5c9059cb918c00244f9d7ccda61befa80ae,274c59c91cae5786a10c1b620ddd49adf66a8b17e1afa81e9ab6a0713d271f13,,,76,76,0,0,[],[],True,True,False,False,,
24h_1h,F00,2060,1,epoch_after_validation,87365f6d6f78041edb81b85aceb4f7b26c4c64eca7ef332329337b6c308ca547,f279682c7702449c7591d72639d4bbbef572685f6bd67eb6d1915e6af2803c53,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,1,best_checkpoint_saved,87365f6d6f78041edb81b85aceb4f7b26c4c64eca7ef332329337b6c308ca547,f279682c7702449c7591d72639d4bbbef572685f6bd67eb6d1915e6af2803c53,,,76,76,0,0,[],[],True,True,True,False,,87365f6d6f78041edb81b85aceb4f7b26c4c64eca7ef332329337b6c308ca547
24h_1h,F00,2060,2,epoch_after_validation,eb3d5a02dcdeced0f0b77b8e4f4ded72d0db0895fa28e0d7c971ec412653cc1c,89ccf32380033bb86029678d5dc9f49de3b55ab965594ecfde738e4ffd0fdfcd,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,2,best_checkpoint_saved,eb3d5a02dcdeced0f0b77b8e4f4ded72d0db0895fa28e0d7c971ec412653cc1c,89ccf32380033bb86029678d5dc9f49de3b55ab965594ecfde738e4ffd0fdfcd,,,76,76,0,0,[],[],True,True,True,False,,eb3d5a02dcdeced0f0b77b8e4f4ded72d0db0895fa28e0d7c971ec412653cc1c
24h_1h,F00,2060,3,epoch_after_validation,1ebbec912c4dad5885fd072ddbf6c2903bd662acfa86ed674942a9f3254d0748,356870cd0acb5c1792de98311587e49a488e35f5d7577409a848200db5f7fb79,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,3,best_checkpoint_saved,1ebbec912c4dad5885fd072ddbf6c2903bd662acfa86ed674942a9f3254d0748,356870cd0acb5c1792de98311587e49a488e35f5d7577409a848200db5f7fb79,,,76,76,0,0,[],[],True,True,True,False,,1ebbec912c4dad5885fd072ddbf6c2903bd662acfa86ed674942a9f3254d0748
24h_1h,F00,2060,4,epoch_after_validation,08b8f9c001ad7f1d74437a4664267b5b83140ad7e2b07c180ac512399526851f,84b08c9672fd7b37a473ae83db86fef969d78b1d0b49efa80933717fa6ee87e9,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,4,best_checkpoint_saved,08b8f9c001ad7f1d74437a4664267b5b83140ad7e2b07c180ac512399526851f,84b08c9672fd7b37a473ae83db86fef969d78b1d0b49efa80933717fa6ee87e9,,,76,76,0,0,[],[],True,True,True,False,,08b8f9c001ad7f1d74437a4664267b5b83140ad7e2b07c180ac512399526851f
24h_1h,F00,2060,5,epoch_after_validation,bcbb7c4b0501f50512be6ff3961e8907afa1932532367b12326ac6be90af4d99,50dd0ccfe268a24795b4cb05a9983bc6944a881deb2133078fa086e67032dab1,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,5,best_checkpoint_saved,bcbb7c4b0501f50512be6ff3961e8907afa1932532367b12326ac6be90af4d99,50dd0ccfe268a24795b4cb05a9983bc6944a881deb2133078fa086e67032dab1,,,76,76,0,0,[],[],True,True,True,False,,bcbb7c4b0501f50512be6ff3961e8907afa1932532367b12326ac6be90af4d99
24h_1h,F00,2060,6,epoch_after_validation,8faf443dc55b7033084978da6ae6d46de738b6f9a73db147c24918ab32ac91da,abe964f74ed82c180e2eb62eeecf1a73df24df1a25dfcdfd605b98ad768bf9ae,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,6,best_checkpoint_saved,8faf443dc55b7033084978da6ae6d46de738b6f9a73db147c24918ab32ac91da,abe964f74ed82c180e2eb62eeecf1a73df24df1a25dfcdfd605b98ad768bf9ae,,,76,76,0,0,[],[],True,True,True,False,,8faf443dc55b7033084978da6ae6d46de738b6f9a73db147c24918ab32ac91da
24h_1h,F00,2060,7,epoch_after_validation,7a5c4cf86ed7ceca5498adadf67d7057d460bc03b46a9c6ed69fb6b7526696d6,5a5ce69e67b441b2eb849c21014add71769c944e2653ac8ccb821a42e7f50aa2,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,7,best_checkpoint_saved,7a5c4cf86ed7ceca5498adadf67d7057d460bc03b46a9c6ed69fb6b7526696d6,5a5ce69e67b441b2eb849c21014add71769c944e2653ac8ccb821a42e7f50aa2,,,76,76,0,0,[],[],True,True,True,False,,7a5c4cf86ed7ceca5498adadf67d7057d460bc03b46a9c6ed69fb6b7526696d6
24h_1h,F00,2060,8,epoch_after_validation,7a1b9c4ea2cf0dcb781e314fefeb5f1ce40f23349c64de81b5d64119aaab16b2,8d025df52eb8ea58ea089fb87013f00dc5f160db3a38183a72af086bc7ad97d8,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,8,best_checkpoint_saved,7a1b9c4ea2cf0dcb781e314fefeb5f1ce40f23349c64de81b5d64119aaab16b2,8d025df52eb8ea58ea089fb87013f00dc5f160db3a38183a72af086bc7ad97d8,,,76,76,0,0,[],[],True,True,True,False,,7a1b9c4ea2cf0dcb781e314fefeb5f1ce40f23349c64de81b5d64119aaab16b2
24h_1h,F00,2060,9,epoch_after_validation,d5d0933f8039da62a66a3886ff58dade0aaaadf38b75b8709376cbefb75fe08b,c0ab6701aad7435e09d75df523a93141e530c2b3254461055e43486ac90a20f5,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,10,epoch_after_validation,f2eb70afcc6c4f2856003a75db11e74f062da779f5cef19ed79510f6f85a8bf4,2455a24b72332d68e730bc9094ea70691edb93bf496fee0146b345c734382f40,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,11,epoch_after_validation,91fd8139c28ada9ff242df504943f50bf28e7032c2f6e7a5d7cde3cba385f754,934f8ed8030c5e6869938864bff546b020b93603d6a829c1c018ef3f1cdc8681,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,12,epoch_after_validation,40128fb8f3675f06bbeb9f94640a94e7cb7a45c57859c1065121abee2febbf46,4d05856cee74137d14bb14a52f308f016a0fe7cbb0f913e2f2525d07eb76fe1e,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,13,epoch_after_validation,67aae3370afba6f53708d40aaab2997e9809a80e280adb7eab23945e7338e706,d0faadcf0fa95bf0b46c5ea929b61546f859239db9e6303e6a6f3d5473f6001a,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,14,epoch_after_validation,522d7ad32d434bf23043c366d0715367fcb489b7637bd877752d9f2fc92197bb,58090af50a925d181c2deba0595d9c2ac5f4a3058ff0b622ab7ccc795afb3a6d,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,14,best_checkpoint_saved,522d7ad32d434bf23043c366d0715367fcb489b7637bd877752d9f2fc92197bb,58090af50a925d181c2deba0595d9c2ac5f4a3058ff0b622ab7ccc795afb3a6d,,,76,76,0,0,[],[],True,True,True,False,,522d7ad32d434bf23043c366d0715367fcb489b7637bd877752d9f2fc92197bb
24h_1h,F00,2060,15,epoch_after_validation,0fc6a8f1309c6dec0c0af313adaaa26e3d5ae14d391f6a5d72449f1335caa7c2,c4e476412854a6cb8ef5da00c49acb83fd894921e6a4fd909a7a65bc82c14caa,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,16,epoch_after_validation,0798e0300e3b8eb3356c4f7099270efdbfb58b69682842d80ab81ab91e50195c,381c7c2d103fa979f1d3fcc2ac8b6b5926a16050ee39e6881a7548e028680efb,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,17,epoch_after_validation,8aa2ec9618a3f7267f4751e25ac3c68c4e5804dc16d361c48f342c04a1d26edf,4b40a982aed203018b26e81d9819ca73f95ecd52a5604acc2d7a1498c25946c1,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,18,epoch_after_validation,b1dc1c0f121ad9a897a660c802938cb42ec4d4fcb033f4914b6dfdfbdb319d5a,6a0c02828957676f3450d73c14d8e4376cf9970b0adcb42081420399d248f647,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,19,epoch_after_validation,0d00031395cc3b0361d09a9b9b63dbef85c815148af4e516baf2b98162cfe0a6,3a94992eb4f3b799a5c94c51ca8527f3e9506c032a1f770f1f9fea6792269347,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,19,best_checkpoint_saved,0d00031395cc3b0361d09a9b9b63dbef85c815148af4e516baf2b98162cfe0a6,3a94992eb4f3b799a5c94c51ca8527f3e9506c032a1f770f1f9fea6792269347,,,76,76,0,0,[],[],True,True,True,False,,0d00031395cc3b0361d09a9b9b63dbef85c815148af4e516baf2b98162cfe0a6
24h_1h,F00,2060,20,epoch_after_validation,a9a481ab7d3dee80132a4e1b3c0a36653487576bba7d0fd740d030f8a6662616,6094060970df832f6c7f07dc4f14475fcbb5b2642855c9ee7dc57f3c9e307bd8,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,21,epoch_after_validation,4365e81891d613980a5d039a872abe7a2eba5256324e6dc7ba28ceee52ffbfb2,7daf7abfcc3cb3b0f1c64f9828b7df4bfb9568edf526f551d1bed489d073b288,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,22,epoch_after_validation,7a1533a97d94d84d3561fdd1623c4a88a5c724dd784b89cda79f3c73dc951ebf,bbea073ebae41e56ea5327eeac54b577111db7d888e46b7439d82d467ba4c938,,,76,76,0,0,[],[],True,True,True,False,,
24h_1h,F00,2060,22,best_checkpoint_saved,7a1533a97d94d84d3561fdd1623c4a88a5c724dd784b89cda79f3c73dc951ebf,bbea073ebae41e56ea5327eeac54b577111db7d888e46b7439d82d467ba4c938,,,76,76,0,0,[],[],True,True,True,False,,7a1533a97d94d84d3561fdd1623c4a88a5c724dd784b89cda79f3c73dc951ebf
