task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
24h_1h,2060,F01,NO2,0,1,0.30372077226638794,0.3187294900417328
24h_1h,2060,F01,NO2,1,1,0.015001979656517506,0.04131759703159332
24h_1h,2060,F01,NO2,2,1,0.001335365348495543,0.0025028532836586237
24h_1h,2060,F01,NO2,3,1,0.002520452020689845,0.006748366169631481
24h_1h,2060,F01,NO2,6,1,0.009300115518271923,0.02606150135397911
24h_1h,2060,F01,NO2,12,1,0.003231231588870287,0.03339160606265068
24h_1h,2060,F01,CO,0,1,0.021243851631879807,0.045500293374061584
24h_1h,2060,F01,CO,1,1,0.001155188074335456,0.0024261174257844687
24h_1h,2060,F01,CO,2,1,0.0002462691627442837,0.000494089093990624
24h_1h,2060,F01,CO,3,1,0.0004684779851231724,0.0011110177729278803
24h_1h,2060,F01,CO,6,1,0.001145899761468172,0.0041388352401554585
24h_1h,2060,F01,CO,12,1,0.0002209819358540699,0.0005343233933672309
24h_1h,2060,F01,O3,0,1,0.007567327469587326,0.03500334918498993
24h_1h,2060,F01,O3,1,1,0.00021114169794600457,0.00027022112044505775
24h_1h,2060,F01,O3,2,1,5.057080852566287e-05,8.030828757910058e-05
24h_1h,2060,F01,O3,3,1,8.305047958856449e-05,0.0001349316444247961
24h_1h,2060,F01,O3,6,1,0.0002218580775661394,0.00026701431488618255
24h_1h,2060,F01,O3,12,1,3.908717553713359e-05,5.684218558599241e-05
24h_1h,2060,F01,SO2,0,1,0.3087117075920105,0.2468894124031067
24h_1h,2060,F01,SO2,1,1,0.03237312287092209,0.0486203096807003
24h_1h,2060,F01,SO2,2,1,0.007967209443449974,0.013036991469562054
24h_1h,2060,F01,SO2,3,1,0.01252581737935543,0.02288501337170601
24h_1h,2060,F01,SO2,6,1,0.038435861468315125,0.07301733642816544
24h_1h,2060,F01,SO2,12,1,0.006472693290561438,0.017613990232348442
24h_1h,2060,F01,temperature,0,1,0.14208590984344482,0.13008105754852295
24h_1h,2060,F01,temperature,1,1,0.009377846494317055,0.01062052883207798
24h_1h,2060,F01,temperature,2,1,0.0017439320217818022,0.0024469513446092606
24h_1h,2060,F01,temperature,3,1,0.0024466519244015217,0.0035114572383463383
24h_1h,2060,F01,temperature,6,1,0.006609359290450811,0.007321510463953018
24h_1h,2060,F01,temperature,12,1,0.0012911930680274963,0.0016069457633420825
24h_1h,2060,F01,pressure_hPa_fixed,0,1,0.05154697597026825,0.08003821223974228
24h_1h,2060,F01,pressure_hPa_fixed,1,1,0.0026577699463814497,0.005528018809854984
24h_1h,2060,F01,pressure_hPa_fixed,2,1,0.0006001230794936419,0.0011787231778725982
24h_1h,2060,F01,pressure_hPa_fixed,3,1,0.0009200593922287226,0.001772552728652954
24h_1h,2060,F01,pressure_hPa_fixed,6,1,0.003138984087854624,0.0077098337933421135
24h_1h,2060,F01,pressure_hPa_fixed,12,1,0.0005152330850251019,0.001352919964119792
24h_1h,2060,F01,humidity_clean,0,1,0.002282906323671341,0.012426610104739666
24h_1h,2060,F01,humidity_clean,1,1,0.00020434205362107605,0.0010862171184271574
24h_1h,2060,F01,humidity_clean,2,1,4.743975296150893e-05,9.880579455057159e-05
24h_1h,2060,F01,humidity_clean,3,1,7.68918835092336e-05,0.0001714054960757494
24h_1h,2060,F01,humidity_clean,6,1,0.00016621775284875184,0.0005023793200962245
24h_1h,2060,F01,humidity_clean,12,1,3.818379991571419e-05,0.00015496085688937455
24h_1h,2060,F11,NO2,0,1,0.4594327211380005,0.2709469199180603
24h_1h,2060,F11,NO2,1,1,0.038192033767700195,0.08981792628765106
