variant,seed,best_epoch,beta,trained_epochs,trainable_parameter_count,rmse_ugm3,mae_ugm3,smape_percent,element_count
st_rfft,7001,1,0.1018604189157486,7,11673,15.691637105082911,11.698495267143379,36.256479101794,40344
st_time,7001,28,0.13500480353832245,30,11673,15.418968600639044,11.510534787542074,35.699597539781905,40344
st_rfft,7002,1,0.10172823816537857,7,11673,15.595459748914699,11.631734325704702,36.20473218953739,40344
st_time,7002,27,0.12329624593257904,30,11673,15.434776148484028,11.534590865183795,35.89138015247856,40344
st_rfft,7003,1,0.10176222771406174,7,11673,15.606573607084432,11.633656431752586,36.094492331356626,40344
st_time,7003,16,0.13264164328575134,22,11673,15.356464931551905,11.46460940453497,35.6453242087767,40344
st_rfft,7004,28,0.1569308191537857,30,11673,15.26947896737327,11.407480010668626,35.466218918305756,40344
st_time,7004,25,0.1420781910419464,30,11673,15.313272637377391,11.421343318247828,35.48295631280457,40344
st_rfft,7005,1,0.10174775868654251,7,11673,15.46599458924898,11.491543462487787,35.6720900075248,40344
st_time,7005,19,0.12155649811029434,25,11673,15.303358271281231,11.425168604976527,35.44430967649195,40344
