variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters
trad_persistence,trad_persistence,deterministic,completed,0,,3.6199999158270657e-06,0.0020003030003863387,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_persistence.npz,0.07139554619789124,0.26719945022003927,0.18484963476657867,6.195222854614258,4.285879611968994,17.782411575317383,,
trad_daily_naive,trad_daily_naive,deterministic,completed,0,,2.089999725285452e-06,0.001717174000077648,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_daily_naive.npz,1.0188909769058228,1.00940129626716,0.7322602272033691,23.403738021850586,16.978010177612305,56.8948860168457,,
trad_climatology,trad_climatology,deterministic,completed,0,,0.006262834000153816,0.0017059639994840836,test,0,0,A,not_applicable,not_applicable,1,,predictions/trad_climatology.npz,1.0041288137435913,1.0020622803716301,0.8287321925163269,23.233577728271484,19.214786529541016,60.41189956665039,,
trad_spatial_linear,trad_spatial_linear,deterministic,completed,0,,0.017900169000313326,0.0018158039993068087,test,0,0,A,not_applicable,not_applicable,6,10.0,predictions/trad_spatial_linear.npz,0.061682719737291336,0.24836006067258748,0.1830710768699646,5.758417129516602,4.24464225769043,18.659942626953125,,
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7001,completed,4,0.9530239701271057,1.9829390150007384,0.011895754000761372,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7001.npz,0.47304102778434753,0.6877797814594054,0.5498782396316528,15.946698188781738,12.749346733093262,46.2498893737793,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7002,completed,13,0.9602089524269104,3.4200537730002907,0.012024413000290224,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7002.npz,1.0013049840927124,1.0006522793122057,0.8414894342422485,23.200885772705078,19.510574340820312,60.390708923339844,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_default,plain_mix_patchtst_all,7003,completed,5,1.6851239204406738,2.138071722000859,0.011937293999835674,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_all_default_seed7003.npz,0.4366675913333893,0.6608082863685876,0.5122123956680298,15.321343421936035,11.876033782958984,42.39866256713867,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7001,completed,4,0.9530239701271057,1.9663252730006207,0.011912914999811619,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7001.npz,0.47304102778434753,0.6877797814594054,0.5498782396316528,15.946698188781738,12.749346733093262,46.2498893737793,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7002,completed,13,0.9602089524269104,3.402022281000427,0.011957843999880424,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7002.npz,1.0013049840927124,1.0006522793122057,0.8414894342422485,23.200885772705078,19.510574340820312,60.390708923339844,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,7003,completed,5,1.6851239204406738,2.1319872049998594,0.011921354999685718,test,16903,16900,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed7003.npz,0.4366675913333893,0.6608082863685876,0.5122123956680298,15.321343421936035,11.876033782958984,42.39866256713867,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
multi_gru_default,multi_gru,7001,completed,8,0.08727778494358063,2.3928959459999533,0.008887611999853107,test,32501,32501,C,default,default,6,,predictions/multi_gru_default_seed7001.npz,0.0626206025481224,0.250241088848579,0.18227651715278625,5.802030086517334,4.226219654083252,18.102968215942383,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}"
multi_gru_default,multi_gru,7002,completed,15,0.08603420108556747,3.4021228940000583,0.009159680000266235,test,32501,32501,C,default,default,6,,predictions/multi_gru_default_seed7002.npz,0.06146962568163872,0.24793068725278586,0.18002437055110931,5.7484612464904785,4.174002170562744,17.976276397705078,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}"
multi_gru_default,multi_gru,7003,completed,27,0.0862763375043869,5.1405982750002295,0.00929498900040926,test,32501,32501,C,default,default,6,,predictions/multi_gru_default_seed7003.npz,0.06360922753810883,0.2522086983791575,0.18606363236904144,5.847650527954102,4.314026832580566,19.34297752380371,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 100}"
center_gru_default,center_gru,7001,completed,11,0.11335302144289017,2.816396941999301,0.009235249999619555,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed7001.npz,0.07155013829469681,0.2674885760078303,0.19015870988368988,6.2019267082214355,4.4089741706848145,19.13247299194336,[0],"{""hidden_size"": 100}"
center_gru_default,center_gru,7002,completed,16,0.11099880933761597,3.5571498249992146,0.00913087099979748,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed7002.npz,0.0695207267999649,0.2636678342156375,0.18535670638084412,6.113339424133301,4.297636032104492,18.479915618896484,[0],"{""hidden_size"": 100}"
center_gru_default,center_gru,7003,completed,21,0.1067766547203064,4.268917684999906,0.009062760999768216,test,31001,31001,B,default,default,1,,predictions/center_gru_default_seed7003.npz,0.06920699030160904,0.2630722149935432,0.18512089550495148,6.09952974319458,4.292168617248535,18.385055541992188,[0],"{""hidden_size"": 100}"
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7001,completed,4,0.9530239701271057,1.9718022099996233,0.01194938699973136,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7001.npz,0.47304102778434753,0.6877797814594054,0.5498782396316528,15.946698188781738,12.749346733093262,46.2498893737793,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7002,completed,13,0.9602089524269104,3.409252198000104,0.011956306999309163,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7002.npz,1.0013049840927124,1.0006522793122057,0.8414894342422485,23.200885772705078,19.510574340820312,60.390708923339844,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7003,completed,5,1.6851239204406738,2.132163935999415,0.011956117999943672,test,16903,16900,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7003.npz,0.4366675913333893,0.6608082863685876,0.5122123956680298,15.321343421936035,11.876033782958984,42.39866256713867,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 1, ""seq_len"": 24, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}"
