variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7002,completed,7,3.019681692123413,11.47365548200014,0.03492677299982461,test,25932,25929,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7002.npz,1.047194004058838,1.0233249748046014,0.8131652474403381,21.222761154174805,16.864253997802734,45.43621826171875,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_all_matched,plain_mix_patchtst_all,7003,completed,16,4.324507236480713,19.413450416999694,0.03460931699919456,test,25932,25929,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_all_matched_seed7003.npz,1.124068260192871,1.0602208544415974,0.8518072962760925,21.987943649291992,17.665653228759766,47.04258346557617,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7001,completed,18,1.8245792388916016,21.20195967499967,0.03438836799978162,test,25932,25929,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7001.npz,1.5167617797851562,1.231568828683625,1.054079532623291,25.541534423828125,21.860580444335938,54.469085693359375,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7002,completed,2,3.5088329315185547,7.088931524000145,0.03462479799964058,test,25932,25929,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7002.npz,1.01847505569458,1.0091952515220135,0.7664638757705688,20.929723739624023,15.895710945129395,43.43227005004883,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
plain_mix_patchtst_top5_matched,plain_mix_patchtst_top5,7003,completed,7,4.516381740570068,11.490771601999768,0.0348878370004968,test,25932,25929,C,matched,matched_nearest,6,,predictions/plain_mix_patchtst_top5_matched_seed7003.npz,1.1320409774780273,1.063974143237526,0.7693951725959778,22.065784454345703,15.95650577545166,43.81181716918945,"[0, 1, 2, 3, 4, 5]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 6, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,
multi_gru_matched,multi_gru,7001,completed,22,0.5825484991073608,15.828054519000034,0.04675514600057795,test,21099,21099,C,matched,matched,6,,predictions/multi_gru_matched_seed7001.npz,0.29200032353401184,0.5403705428074441,0.3451620638370514,11.206757545471191,7.158323764801025,19.053075790405273,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 79}",,,,,
multi_gru_matched,multi_gru,7002,completed,18,0.6231839656829834,13.561786436000148,0.04461099799937074,test,21099,21099,C,matched,matched,6,,predictions/multi_gru_matched_seed7002.npz,0.301310658454895,0.5489177155593495,0.3558638095855713,11.384016990661621,7.380268573760986,19.76468276977539,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 79}",,,,,
multi_gru_matched,multi_gru,7003,completed,20,0.6123379468917847,14.689191794999715,0.04466397800024424,test,21099,21099,C,matched,matched,6,,predictions/multi_gru_matched_seed7003.npz,0.2968858480453491,0.5448723227007857,0.3514961302280426,11.30012035369873,7.289686679840088,19.782106399536133,"[0, 1, 2, 3, 4, 5]","{""hidden_size"": 79}",,,,,
center_gru_matched,center_gru,7001,completed,29,0.6085700988769531,17.38890646999971,0.04561093400025129,test,21408,21408,B,matched,matched,1,,predictions/center_gru_matched_seed7001.npz,0.3029763102531433,0.5504328390032187,0.341815322637558,11.41543960571289,7.088915824890137,19.2139949798584,[0],"{""hidden_size"": 82}",,,,,
center_gru_matched,center_gru,7002,completed,27,0.6013967394828796,17.281337157999587,0.045814105000317795,test,21408,21408,B,matched,matched,1,,predictions/center_gru_matched_seed7002.npz,0.3051607012748718,0.5524135237979532,0.34703680872917175,11.456517219543457,7.197204113006592,19.49485206604004,[0],"{""hidden_size"": 82}",,,,,
center_gru_matched,center_gru,7003,completed,20,0.6217791438102722,14.984088297000199,0.04575450500033185,test,21408,21408,B,matched,matched,1,,predictions/center_gru_matched_seed7003.npz,0.3103795349597931,0.557117164481398,0.3489457368850708,11.554065704345703,7.236794471740723,19.574703216552734,[0],"{""hidden_size"": 82}",,,,,
