arm,seed,artifact,best_epoch,best_valid_loss,trained_epochs,training_seconds,initialized_from_degraded,backbone_frozen,config_fingerprint
degraded_patchtst,7001,predictions/degraded_patchtst_seed7001.npz,9,1.4762089252471924,17,5.751604290999239,False,False,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
st_sparse_station_bias_delta_forecast,7001,predictions/st_sparse_station_bias_delta_forecast_seed7001.npz,17,1.3957328796386719,25,4.343276485000388,True,True,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
degraded_patchtst,7002,predictions/degraded_patchtst_seed7002.npz,9,1.496800422668457,17,5.514136674999463,False,False,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
st_sparse_station_bias_delta_forecast,7002,predictions/st_sparse_station_bias_delta_forecast_seed7002.npz,11,1.4287469387054443,19,3.4965629469988926,True,True,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
degraded_patchtst,7003,predictions/degraded_patchtst_seed7003.npz,13,1.488460659980774,21,6.805970929999603,False,False,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
st_sparse_station_bias_delta_forecast,7003,predictions/st_sparse_station_bias_delta_forecast_seed7003.npz,15,1.4231399297714233,23,4.237937560003047,True,True,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
degraded_patchtst,7004,predictions/degraded_patchtst_seed7004.npz,7,1.486406922340393,15,4.884470300999965,False,False,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
st_sparse_station_bias_delta_forecast,7004,predictions/st_sparse_station_bias_delta_forecast_seed7004.npz,2,1.4532188177108765,10,1.7915907710012107,True,True,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
degraded_patchtst,7005,predictions/degraded_patchtst_seed7005.npz,8,1.4857182502746582,16,5.226860889000818,False,False,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
st_sparse_station_bias_delta_forecast,7005,predictions/st_sparse_station_bias_delta_forecast_seed7005.npz,33,1.4162068367004395,40,7.180386022999301,True,True,05431a8fc173423f9e87336fe0b4c48a5940e1f1db7d9264881b1e0ddb5adb02
