task,role,variant,runs,rmse_ugm3_mean,rmse_ugm3_std,mae_ugm3_mean,mae_ugm3_std,smape_percent_mean,smape_percent_std,paired_rmse_improved_seeds,paired_rmse_improvement_percent_mean
168h_6h,primary,degraded_patchtst_clean,3,50.98716608683268,0.5350967309402794,33.498547871907554,0.42677644109095125,50.66377639770508,3.026430650565164,,
168h_6h,primary,locked_st_clean,3,50.329891204833984,0.5707290111267915,32.90695317586263,0.7130606123910687,50.436658223470054,2.5639620402339953,3.0,1.2890948037679515
24h_1h,auxiliary,degraded_patchtst_clean,3,23.77050272623698,0.23461549133428508,13.026534716288248,0.15885608146928903,22.27140744527181,1.878837064644921,,
24h_1h,auxiliary,locked_st_clean,3,22.57714080810547,0.3332707115924617,12.688424746195475,0.15834198406255595,21.964989344278973,0.9064777940047855,3.0,5.022997937099369
