variant,arm,seed,status,best_epoch,best_valid_loss,training_seconds,test_inference_seconds,evaluation_split,parameter_count,trainable_parameter_count,layer,requested_capacity,capacity_status,input_channels,selected_alpha,prediction_file,mse_scaled,rmse_scaled,mae_scaled,rmse_ugm3,mae_ugm3,smape_percent,selected_channel_indices,hyperparameters,infeasible_reason,device_name,batch_size,history,horizon,learning_rate_retry,note
plain_mix_patchtst_all_default,plain_mix_patchtst_all,2049,completed,13,1.2757811546325684,19.564511931000197,0.07744555199997194,test,50526,50523,C,default,default,18,,predictions/plain_mix_patchtst_all_default_seed2049.npz,0.717842698097229,0.8472559814467107,0.6037421226501465,63.01994705200195,44.90707778930664,59.72787857055664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 24, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2047,completed,3,1.914029836654663,10.450456185999883,0.07276437300015459,test,50142,50139,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2047.npz,2.189967155456543,1.4798537615104213,1.0322363376617432,110.07334899902344,76.77901458740234,80.9967041015625,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 24, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2048,completed,6,1.344977617263794,13.802802730000167,0.061966418999872985,test,50142,50139,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2048.npz,0.6959677338600159,0.8342468063229346,0.5846258997917175,62.052303314208984,43.48519515991211,58.9768180847168,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 24, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
plain_mix_patchtst_top5_default,plain_mix_patchtst_top5,2049,completed,8,1.4208048582077026,16.92482168699962,0.06251561599992783,test,50142,50139,C,default,default,6,,predictions/plain_mix_patchtst_top5_default_seed2049.npz,0.9215576648712158,0.9599779502005323,0.7141976952552795,71.40434265136719,53.12290954589844,68.50121307373047,"[9, 14, 11, 16, 15, 4]","{""c_in"": 1, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 24, ""seq_len"": 168, ""station_mixer"": ""Conv1d(S,32,1)-GELU-Conv1d(32,1,1)"", ""stride"": 2}",,,,,,,
patchtst_ci_top5_default,patchtst_ci_top5,2047,completed,28,1.1430119276046753,161.78564573699987,0.32289492500012784,test,49895,49892,C,default,default,6,,predictions/patchtst_ci_top5_default_seed2047.npz,0.8248251676559448,0.9081988590919639,0.64142906665802,67.5529556274414,47.710289001464844,63.4046630859375,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 24, ""seq_len"": 168, ""stride"": 2}",,,,,,,
patchtst_ci_top5_default,patchtst_ci_top5,2048,nonfinite,0,,,,test,49895,49895,C,default,default,6,,,,,,,,,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 24, ""seq_len"": 168, ""stride"": 2}",non-finite training loss at protocol lr and at lr/10: patchtst_ci_top5_default seed=2048 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,24.0,,
patchtst_ci_top5_default,patchtst_ci_top5,2049,nonfinite,0,,,,test,49895,49895,C,default,default,6,,,,,,,,,"[9, 14, 11, 16, 15, 4]","{""c_in"": 6, ""c_out"": 1, ""d_ff"": 128, ""d_model"": 16, ""dropout"": 0.2, ""n_heads"": 4, ""n_layers"": 3, ""padding_patch"": true, ""patch_len"": 4, ""pred_dim"": 24, ""seq_len"": 168, ""stride"": 2}",non-finite training loss at protocol lr and at lr/10: patchtst_ci_top5_default seed=2049 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,24.0,,
multi_gru_default,multi_gru,2047,nonfinite,0,,,,test,38424,38424,C,default,default,18,,,,,,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: multi_gru_default seed=2047 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,24.0,,
multi_gru_default,multi_gru,2048,nonfinite,0,,,,test,38424,38424,C,default,default,18,,,,,,,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}",non-finite training loss at protocol lr and at lr/10: multi_gru_default seed=2048 has non-finite training loss,AMD Radeon RX 7600,512.0,168.0,24.0,,
multi_gru_default,multi_gru,2049,completed,30,1.3001787662506104,21.71925810599987,0.054417948000264005,test,38424,38424,C,default,default,18,,predictions/multi_gru_default_seed2049.npz,0.6789397597312927,0.823978009252245,0.5779640674591064,61.28849792480469,42.989681243896484,56.82734298706055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","{""hidden_size"": 100}",,,,,,True,nonfinite loss at protocol lr; retried once with lr/10
